noun_w_ekor	noun_w_ekor_only	cossim
bintang	kera	0.25
bintang	ulat	0.17
bintang	macan	0.29
bintang	rubah	0.13
bintang	merpati	0.29
bintang	lembu	0.2
bintang	kelelawar	0.23
bintang	keledai	0.15
bintang	belalang	0.18
bintang	angsa	0.23
bintang	gabus	0.18
bintang	ngengat	0.22
bintang	kalkun	0.15
hewan	daging	0.51
hewan	burung	0.54
hewan	ayam	0.45
hewan	makhluk	0.66
hewan	petani	0.33
hewan	kucing	0.58
hewan	binatang	0.86
hewan	sapi	0.56
hewan	anjing	0.61
hewan	kuda	0.52
hewan	induk	0.39
hewan	ular	0.51
hewan	malaikat	0.36
hewan	ternak	0.67
hewan	pahlawan	0.28
hewan	babi	0.53
hewan	serangga	0.56
hewan	hantu	0.37
hewan	pejuang	0.29
hewan	bibit	0.36
hewan	tikus	0.54
hewan	singa	0.41
hewan	domba	0.45
hewan	benih	0.36
hewan	buaya	0.46
hewan	cacing	0.47
hewan	paus	0.41
hewan	nyamuk	0.38
hewan	iblis	0.34
hewan	lebah	0.41
hewan	mamalia	0.63
hewan	semut	0.44
hewan	pemburu	0.44
hewan	monyet	0.49
hewan	jago	0.23
hewan	serigala	0.46
hewan	katak	0.45
hewan	unta	0.49
hewan	kera	0.51
hewan	ulat	0.45
hewan	macan	0.41
hewan	rubah	0.33
hewan	merpati	0.39
hewan	lembu	0.47
hewan	kelelawar	0.45
hewan	keledai	0.45
hewan	belalang	0.37
hewan	angsa	0.35
hewan	gabus	0.32
hewan	ngengat	0.33
hewan	kalkun	0.38
daging	burung	0.34
daging	ayam	0.62
daging	makhluk	0.36
daging	petani	0.23
daging	kucing	0.33
daging	binatang	0.47
daging	sapi	0.66
daging	anjing	0.41
daging	kuda	0.38
daging	induk	0.33
daging	ular	0.34
daging	malaikat	0.24
daging	ternak	0.5
daging	pahlawan	0.24
daging	babi	0.6
daging	serangga	0.28
daging	hantu	0.26
daging	pejuang	0.21
daging	bibit	0.39
daging	tikus	0.34
daging	singa	0.3
daging	domba	0.47
daging	benih	0.43
daging	buaya	0.36
daging	cacing	0.37
daging	paus	0.35
daging	nyamuk	0.23
daging	iblis	0.35
daging	lebah	0.18
daging	mamalia	0.31
daging	semut	0.26
daging	pemburu	0.27
daging	monyet	0.3
daging	jago	0.23
daging	serigala	0.4
daging	katak	0.32
daging	unta	0.39
daging	kera	0.3
daging	ulat	0.41
daging	macan	0.31
daging	rubah	0.28
daging	merpati	0.33
daging	lembu	0.44
daging	kelelawar	0.31
daging	keledai	0.34
daging	belalang	0.29
daging	angsa	0.33
daging	gabus	0.41
daging	ngengat	0.2
daging	kalkun	0.5
burung	ayam	0.51
burung	makhluk	0.44
burung	petani	0.32
burung	kucing	0.45
burung	binatang	0.56
burung	sapi	0.39
burung	anjing	0.41
burung	kuda	0.41
burung	induk	0.38
burung	ular	0.45
burung	malaikat	0.37
burung	ternak	0.48
burung	pahlawan	0.29
burung	babi	0.43
burung	serangga	0.52
burung	hantu	0.5
burung	pejuang	0.26
burung	bibit	0.36
burung	tikus	0.42
burung	singa	0.36
burung	domba	0.37
burung	benih	0.33
burung	buaya	0.4
burung	cacing	0.36
burung	paus	0.36
burung	nyamuk	0.38
burung	iblis	0.32
burung	lebah	0.42
burung	mamalia	0.5
burung	semut	0.4
burung	pemburu	0.44
burung	monyet	0.44
burung	jago	0.33
burung	serigala	0.31
burung	katak	0.43
burung	unta	0.45
burung	kera	0.38
burung	ulat	0.44
burung	macan	0.35
burung	rubah	0.32
burung	merpati	0.64
burung	lembu	0.3
burung	kelelawar	0.5
burung	keledai	0.33
burung	belalang	0.35
burung	angsa	0.5
burung	gabus	0.27
burung	ngengat	0.35
burung	kalkun	0.4
ayam	makhluk	0.31
ayam	petani	0.29
ayam	kucing	0.48
ayam	binatang	0.41
ayam	sapi	0.62
ayam	anjing	0.44
ayam	kuda	0.42
ayam	induk	0.45
ayam	ular	0.35
ayam	malaikat	0.23
ayam	ternak	0.55
ayam	pahlawan	0.29
ayam	babi	0.55
ayam	serangga	0.32
ayam	hantu	0.34
ayam	pejuang	0.26
ayam	bibit	0.44
ayam	tikus	0.4
ayam	singa	0.32
ayam	domba	0.47
ayam	benih	0.34
ayam	buaya	0.37
ayam	cacing	0.38
ayam	paus	0.24
ayam	nyamuk	0.34
ayam	iblis	0.26
ayam	lebah	0.28
ayam	mamalia	0.23
ayam	semut	0.3
ayam	pemburu	0.24
ayam	monyet	0.36
ayam	jago	0.47
ayam	serigala	0.33
ayam	katak	0.33
ayam	unta	0.38
ayam	kera	0.35
ayam	ulat	0.4
ayam	macan	0.34
ayam	rubah	0.32
ayam	merpati	0.42
ayam	lembu	0.43
ayam	kelelawar	0.32
ayam	keledai	0.31
ayam	belalang	0.35
ayam	angsa	0.43
ayam	gabus	0.3
ayam	ngengat	0.23
ayam	kalkun	0.58
makhluk	petani	0.27
makhluk	kucing	0.4
makhluk	binatang	0.61
makhluk	sapi	0.31
makhluk	anjing	0.42
makhluk	kuda	0.31
makhluk	induk	0.27
makhluk	ular	0.41
makhluk	malaikat	0.48
makhluk	ternak	0.37
makhluk	pahlawan	0.29
makhluk	babi	0.35
makhluk	serangga	0.48
makhluk	hantu	0.45
makhluk	pejuang	0.31
makhluk	bibit	0.28
makhluk	tikus	0.36
makhluk	singa	0.32
makhluk	domba	0.22
makhluk	benih	0.34
makhluk	buaya	0.35
makhluk	cacing	0.37
makhluk	paus	0.36
makhluk	nyamuk	0.37
makhluk	iblis	0.44
makhluk	lebah	0.33
makhluk	mamalia	0.5
makhluk	semut	0.39
makhluk	pemburu	0.36
makhluk	monyet	0.39
makhluk	jago	0.19
makhluk	serigala	0.41
makhluk	katak	0.35
makhluk	unta	0.33
makhluk	kera	0.47
makhluk	ulat	0.36
makhluk	macan	0.27
makhluk	rubah	0.3
makhluk	merpati	0.23
makhluk	lembu	0.25
makhluk	kelelawar	0.38
makhluk	keledai	0.29
makhluk	belalang	0.3
makhluk	angsa	0.26
makhluk	gabus	0.23
makhluk	ngengat	0.3
makhluk	kalkun	0.22
petani	kucing	0.21
petani	binatang	0.29
petani	sapi	0.35
petani	anjing	0.24
petani	kuda	0.26
petani	induk	0.27
petani	ular	0.27
petani	malaikat	0.17
petani	ternak	0.46
petani	pahlawan	0.32
petani	babi	0.26
petani	serangga	0.32
petani	hantu	0.22
petani	pejuang	0.39
petani	bibit	0.45
petani	tikus	0.33
petani	singa	0.13
petani	domba	0.29
petani	benih	0.45
petani	buaya	0.26
petani	cacing	0.31
petani	paus	0.19
petani	nyamuk	0.16
petani	iblis	0.19
petani	lebah	0.3
petani	mamalia	0.23
petani	semut	0.32
petani	pemburu	0.38
petani	monyet	0.24
petani	jago	0.2
petani	serigala	0.19
petani	katak	0.24
petani	unta	0.2
petani	kera	0.22
petani	ulat	0.33
petani	macan	0.13
petani	rubah	0.14
petani	merpati	0.19
petani	lembu	0.22
petani	kelelawar	0.22
petani	keledai	0.29
petani	belalang	0.27
petani	angsa	0.24
petani	gabus	0.24
petani	ngengat	0.18
petani	kalkun	0.18
kucing	binatang	0.55
kucing	sapi	0.43
kucing	anjing	0.7
kucing	kuda	0.38
kucing	induk	0.35
kucing	ular	0.43
kucing	malaikat	0.28
kucing	ternak	0.42
kucing	pahlawan	0.21
kucing	babi	0.41
kucing	serangga	0.35
kucing	hantu	0.37
kucing	pejuang	0.18
kucing	bibit	0.27
kucing	tikus	0.54
kucing	singa	0.42
kucing	domba	0.37
kucing	benih	0.2
kucing	buaya	0.4
kucing	cacing	0.34
kucing	paus	0.25
kucing	nyamuk	0.33
kucing	iblis	0.31
kucing	lebah	0.3
kucing	mamalia	0.35
kucing	semut	0.34
kucing	pemburu	0.36
kucing	monyet	0.46
kucing	jago	0.29
kucing	serigala	0.4
kucing	katak	0.33
kucing	unta	0.39
kucing	kera	0.37
kucing	ulat	0.35
kucing	macan	0.43
kucing	rubah	0.41
kucing	merpati	0.39
kucing	lembu	0.29
kucing	kelelawar	0.31
kucing	keledai	0.36
kucing	belalang	0.3
kucing	angsa	0.35
kucing	gabus	0.21
kucing	ngengat	0.26
kucing	kalkun	0.31
binatang	sapi	0.52
binatang	anjing	0.59
binatang	kuda	0.48
binatang	induk	0.35
binatang	ular	0.53
binatang	malaikat	0.4
binatang	ternak	0.62
binatang	pahlawan	0.28
binatang	babi	0.55
binatang	serangga	0.57
binatang	hantu	0.39
binatang	pejuang	0.29
binatang	bibit	0.34
binatang	tikus	0.51
binatang	singa	0.48
binatang	domba	0.49
binatang	benih	0.34
binatang	buaya	0.49
binatang	cacing	0.43
binatang	paus	0.39
binatang	nyamuk	0.43
binatang	iblis	0.41
binatang	lebah	0.43
binatang	mamalia	0.59
binatang	semut	0.44
binatang	pemburu	0.45
binatang	monyet	0.52
binatang	jago	0.26
binatang	serigala	0.5
binatang	katak	0.46
binatang	unta	0.5
binatang	kera	0.55
binatang	ulat	0.46
binatang	macan	0.47
binatang	rubah	0.33
binatang	merpati	0.42
binatang	lembu	0.49
binatang	kelelawar	0.43
binatang	keledai	0.45
binatang	belalang	0.38
binatang	angsa	0.4
binatang	gabus	0.29
binatang	ngengat	0.35
binatang	kalkun	0.33
sapi	anjing	0.5
sapi	kuda	0.58
sapi	induk	0.4
sapi	ular	0.41
sapi	malaikat	0.22
sapi	ternak	0.69
sapi	pahlawan	0.19
sapi	babi	0.61
sapi	serangga	0.26
sapi	hantu	0.2
sapi	pejuang	0.2
sapi	bibit	0.39
sapi	tikus	0.42
sapi	singa	0.38
sapi	domba	0.63
sapi	benih	0.31
sapi	buaya	0.4
sapi	cacing	0.37
sapi	paus	0.32
sapi	nyamuk	0.25
sapi	iblis	0.32
sapi	lebah	0.3
sapi	mamalia	0.4
sapi	semut	0.28
sapi	pemburu	0.29
sapi	monyet	0.36
sapi	jago	0.27
sapi	serigala	0.38
sapi	katak	0.34
sapi	unta	0.51
sapi	kera	0.34
sapi	ulat	0.33
sapi	macan	0.35
sapi	rubah	0.28
sapi	merpati	0.31
sapi	lembu	0.62
sapi	kelelawar	0.3
sapi	keledai	0.45
sapi	belalang	0.28
sapi	angsa	0.36
sapi	gabus	0.3
sapi	ngengat	0.23
sapi	kalkun	0.47
anjing	kuda	0.53
anjing	induk	0.36
anjing	ular	0.4
anjing	malaikat	0.32
anjing	ternak	0.46
anjing	pahlawan	0.22
anjing	babi	0.56
anjing	serangga	0.33
anjing	hantu	0.37
anjing	pejuang	0.21
anjing	bibit	0.26
anjing	tikus	0.54
anjing	singa	0.42
anjing	domba	0.46
anjing	benih	0.22
anjing	buaya	0.41
anjing	cacing	0.36
anjing	paus	0.35
anjing	nyamuk	0.3
anjing	iblis	0.33
anjing	lebah	0.31
anjing	mamalia	0.4
anjing	semut	0.33
anjing	pemburu	0.48
anjing	monyet	0.5
anjing	jago	0.29
anjing	serigala	0.53
anjing	katak	0.28
anjing	unta	0.45
anjing	kera	0.46
anjing	ulat	0.34
anjing	macan	0.41
anjing	rubah	0.39
anjing	merpati	0.41
anjing	lembu	0.38
anjing	kelelawar	0.36
anjing	keledai	0.43
anjing	belalang	0.32
anjing	angsa	0.35
anjing	gabus	0.18
anjing	ngengat	0.27
anjing	kalkun	0.34
kuda	induk	0.24
kuda	ular	0.36
kuda	malaikat	0.25
kuda	ternak	0.49
kuda	pahlawan	0.27
kuda	babi	0.41
kuda	serangga	0.27
kuda	hantu	0.29
kuda	pejuang	0.23
kuda	bibit	0.25
kuda	tikus	0.35
kuda	singa	0.36
kuda	domba	0.48
kuda	benih	0.25
kuda	buaya	0.36
kuda	cacing	0.36
kuda	paus	0.29
kuda	nyamuk	0.22
kuda	iblis	0.27
kuda	lebah	0.31
kuda	mamalia	0.36
kuda	semut	0.29
kuda	pemburu	0.3
kuda	monyet	0.34
kuda	jago	0.29
kuda	serigala	0.37
kuda	katak	0.28
kuda	unta	0.58
kuda	kera	0.34
kuda	ulat	0.22
kuda	macan	0.35
kuda	rubah	0.26
kuda	merpati	0.39
kuda	lembu	0.52
kuda	kelelawar	0.28
kuda	keledai	0.57
kuda	belalang	0.25
kuda	angsa	0.34
kuda	gabus	0.18
kuda	ngengat	0.2
kuda	kalkun	0.29
induk	ular	0.26
induk	malaikat	0.21
induk	ternak	0.39
induk	pahlawan	0.19
induk	babi	0.32
induk	serangga	0.28
induk	hantu	0.17
induk	pejuang	0.25
induk	bibit	0.44
induk	tikus	0.28
induk	singa	0.24
induk	domba	0.33
induk	benih	0.44
induk	buaya	0.27
induk	cacing	0.29
induk	paus	0.29
induk	nyamuk	0.24
induk	iblis	0.22
induk	lebah	0.3
induk	mamalia	0.33
induk	semut	0.23
induk	pemburu	0.31
induk	monyet	0.27
induk	jago	0.27
induk	serigala	0.29
induk	katak	0.29
induk	unta	0.28
induk	kera	0.35
induk	ulat	0.22
induk	macan	0.25
induk	rubah	0.23
induk	merpati	0.3
induk	lembu	0.3
induk	kelelawar	0.21
induk	keledai	0.25
induk	belalang	0.21
induk	angsa	0.27
induk	gabus	0.26
induk	ngengat	0.24
induk	kalkun	0.28
ular	malaikat	0.27
ular	ternak	0.37
ular	pahlawan	0.26
ular	babi	0.37
ular	serangga	0.44
ular	hantu	0.37
ular	pejuang	0.21
ular	bibit	0.25
ular	tikus	0.51
ular	singa	0.41
ular	domba	0.31
ular	benih	0.27
ular	buaya	0.54
ular	cacing	0.4
ular	paus	0.31
ular	nyamuk	0.37
ular	iblis	0.39
ular	lebah	0.33
ular	mamalia	0.36
ular	semut	0.37
ular	pemburu	0.31
ular	monyet	0.43
ular	jago	0.28
ular	serigala	0.35
ular	katak	0.47
ular	unta	0.33
ular	kera	0.39
ular	ulat	0.35
ular	macan	0.46
ular	rubah	0.32
ular	merpati	0.38
ular	lembu	0.42
ular	kelelawar	0.38
ular	keledai	0.31
ular	belalang	0.34
ular	angsa	0.3
ular	gabus	0.26
ular	ngengat	0.35
ular	kalkun	0.26
malaikat	ternak	0.24
malaikat	pahlawan	0.28
malaikat	babi	0.26
malaikat	serangga	0.29
malaikat	hantu	0.32
malaikat	pejuang	0.29
malaikat	bibit	0.19
malaikat	tikus	0.25
malaikat	singa	0.22
malaikat	domba	0.28
malaikat	benih	0.23
malaikat	buaya	0.24
malaikat	cacing	0.25
malaikat	paus	0.24
malaikat	nyamuk	0.26
malaikat	iblis	0.55
malaikat	lebah	0.29
malaikat	mamalia	0.25
malaikat	semut	0.28
malaikat	pemburu	0.25
malaikat	monyet	0.24
malaikat	jago	0.2
malaikat	serigala	0.33
malaikat	katak	0.21
malaikat	unta	0.29
malaikat	kera	0.27
malaikat	ulat	0.25
malaikat	macan	0.19
malaikat	rubah	0.24
malaikat	merpati	0.31
malaikat	lembu	0.28
malaikat	kelelawar	0.3
malaikat	keledai	0.28
malaikat	belalang	0.25
malaikat	angsa	0.18
malaikat	gabus	0.11
malaikat	ngengat	0.3
malaikat	kalkun	0.14
ternak	pahlawan	0.18
ternak	babi	0.51
ternak	serangga	0.4
ternak	hantu	0.26
ternak	pejuang	0.22
ternak	bibit	0.48
ternak	tikus	0.42
ternak	singa	0.3
ternak	domba	0.56
ternak	benih	0.38
ternak	buaya	0.35
ternak	cacing	0.41
ternak	paus	0.26
ternak	nyamuk	0.29
ternak	iblis	0.25
ternak	lebah	0.4
ternak	mamalia	0.39
ternak	semut	0.3
ternak	pemburu	0.37
ternak	monyet	0.29
ternak	jago	0.25
ternak	serigala	0.36
ternak	katak	0.28
ternak	unta	0.46
ternak	kera	0.31
ternak	ulat	0.41
ternak	macan	0.29
ternak	rubah	0.24
ternak	merpati	0.39
ternak	lembu	0.47
ternak	kelelawar	0.27
ternak	keledai	0.4
ternak	belalang	0.33
ternak	angsa	0.37
ternak	gabus	0.27
ternak	ngengat	0.24
ternak	kalkun	0.46
pahlawan	babi	0.19
pahlawan	serangga	0.19
pahlawan	hantu	0.3
pahlawan	pejuang	0.64
pahlawan	bibit	0.23
pahlawan	tikus	0.27
pahlawan	singa	0.22
pahlawan	domba	0.23
pahlawan	benih	0.23
pahlawan	buaya	0.28
pahlawan	cacing	0.15
pahlawan	paus	0.19
pahlawan	nyamuk	0.11
pahlawan	iblis	0.27
pahlawan	lebah	0.2
pahlawan	mamalia	0.19
pahlawan	semut	0.2
pahlawan	pemburu	0.33
pahlawan	monyet	0.2
pahlawan	jago	0.3
pahlawan	serigala	0.22
pahlawan	katak	0.25
pahlawan	unta	0.11
pahlawan	kera	0.18
pahlawan	ulat	0.2
pahlawan	macan	0.22
pahlawan	rubah	0.2
pahlawan	merpati	0.22
pahlawan	lembu	0.2
pahlawan	kelelawar	0.21
pahlawan	keledai	0.2
pahlawan	belalang	0.12
pahlawan	angsa	0.22
pahlawan	gabus	0.21
pahlawan	ngengat	0.21
pahlawan	kalkun	0.17
babi	serangga	0.28
babi	hantu	0.37
babi	pejuang	0.17
babi	bibit	0.3
babi	tikus	0.44
babi	singa	0.36
babi	domba	0.49
babi	benih	0.29
babi	buaya	0.41
babi	cacing	0.36
babi	paus	0.34
babi	nyamuk	0.3
babi	iblis	0.33
babi	lebah	0.27
babi	mamalia	0.42
babi	semut	0.26
babi	pemburu	0.34
babi	monyet	0.44
babi	jago	0.26
babi	serigala	0.43
babi	katak	0.39
babi	unta	0.38
babi	kera	0.48
babi	ulat	0.39
babi	macan	0.38
babi	rubah	0.33
babi	merpati	0.36
babi	lembu	0.5
babi	kelelawar	0.39
babi	keledai	0.43
babi	belalang	0.33
babi	angsa	0.41
babi	gabus	0.28
babi	ngengat	0.22
babi	kalkun	0.43
serangga	hantu	0.4
serangga	pejuang	0.29
serangga	bibit	0.34
serangga	tikus	0.5
serangga	singa	0.28
serangga	domba	0.24
serangga	benih	0.3
serangga	buaya	0.35
serangga	cacing	0.49
serangga	paus	0.28
serangga	nyamuk	0.61
serangga	iblis	0.32
serangga	lebah	0.57
serangga	mamalia	0.48
serangga	semut	0.58
serangga	pemburu	0.42
serangga	monyet	0.35
serangga	jago	0.22
serangga	serigala	0.32
serangga	katak	0.44
serangga	unta	0.32
serangga	kera	0.29
serangga	ulat	0.58
serangga	macan	0.32
