noun_w_buah	noun_w_orang	cossim
hal	kapten	0.21
hal	sekutu	0.25
hal	alumni	0.16
hal	sponsor	0.25
hal	atasan	0.28
hal	vokalis	0.12
hal	santri	0.18
hal	sekretaris	0.25
hal	jurnalis	0.23
hal	kritikus	0.27
hal	oknum	0.32
hal	konsultan	0.24
hal	turis	0.23
hal	bidan	0.17
hal	rasul	0.22
hal	iblis	0.21
hal	demonstrasi	0.33
hal	janda	0.19
hal	elit	0.19
hal	kader	0.2
hal	waris	0.27
hal	insinyur	0.16
hal	dukun	0.12
hal	audit	0.33
hal	duta	0.2
hal	doktor	0.2
hal	bubur	0.14
hal	intelijen	0.25
hal	praktisi	0.28
hal	walikota	0.21
hal	finalis	0.19
hal	panglima	0.15
hal	imigran	0.18
hal	resepsionis	0.15
hal	delegasi	0.23
hal	spektrum	0.23
hal	keponakan	0.22
hal	teknisi	0.26
hal	jago	0.23
hal	kiper	0.19
hal	propaganda	0.27
hal	analis	0.19
hal	striker	0.21
hal	ekonom	0.2
hal	tuna	0.15
hal	supir	0.18
hal	ksatria	0.17
hal	dalang	0.2
hal	wirausaha	0.26
hal	majikan	0.17
hal	administrator	0.19
hal	pucuk	0.18
hal	kapitalis	0.11
hal	agensi	0.23
hal	mukmin	0.24
hal	detektif	0.17
hal	jaksa	0.22
hal	kolektor	0.15
hal	macan	0.17
hal	preman	0.16
hal	direksi	0.19
hal	fasilitator	0.21
hal	kristen	0.25
hal	bibi	0.18
hal	pramuka	0.17
hal	botani	0.17
hal	jemaah	0.2
hal	debitur	0.22
hal	diktator	0.17
hal	abdi	0.15
hal	lurah	0.09
hal	milisi	0.16
hal	demonstran	0.17
hal	sandera	0.17
hal	astronot	0.19
hal	serdadu	0.12
hal	bendahara	0.2
hal	kuli	0.11
hal	kreditur	0.17
hal	biang	0.26
hal	separatis	0.23
hal	mumi	0.16
hal	informan	0.26
hal	humas	0.26
hal	cleaning	0.17
hal	duda	0.16
hal	eksportir	0.19
hal	wiraswasta	0.18
hal	nona	0.13
hal	deputi	0.19
hal	firaun	0.17
hal	marinir	0.14
hal	inspektur	0.23
hal	pialang	0.18
hal	miliarder	0.19
hal	satria	0.12
hal	panelis	0.15
hal	habib	0.16
hal	penterjemah	0.23
hal	wapres	0.15
hal	marxis	0.19
hal	madam	0.08
hari	dalam	0.45
hari	tahun	0.6
hari	orang	0.42
hari	saat	0.63
hari	anak	0.36
hari	tempat	0.43
hari	diri	0.28
hari	manusia	0.31
hari	hasil	0.39
hari	masyarakat	0.3
hari	kelas	0.33
hari	hidup	0.37
hari	wanita	0.33
hari	anggota	0.27
hari	keluarga	0.32
hari	data	0.26
hari	ibu	0.3
hari	kelompok	0.31
hari	jam	0.6
hari	tim	0.24
hari	kulit	0.31
hari	bisnis	0.28
hari	siswa	0.26
hari	pihak	0.25
hari	pria	0.3
hari	media	0.26
hari	guru	0.26
hari	perempuan	0.32
hari	kepala	0.27
hari	bumi	0.34
hari	politik	0.21
hari	teman	0.34
hari	bangsa	0.25
hari	batu	0.26
hari	warga	0.28
hari	perangkat	0.31
hari	model	0.16
hari	bayi	0.34
hari	mahasiswa	0.23
hari	dokter	0.28
hari	internet	0.29
hari	raja	0.28
hari	rakyat	0.29
hari	ahli	0.23
hari	tokoh	0.23
hari	pasukan	0.26
hari	tenaga	0.23
hari	kaum	0.26
hari	istri	0.32
hari	militer	0.19
hari	karakter	0.2
hari	gadis	0.31
hari	suami	0.32
hari	calon	0.24
hari	ayah	0.3
hari	tamu	0.3
hari	individu	0.3
hari	remaja	0.29
hari	umat	0.34
hari	mantan	0.2
hari	matahari	0.45
hari	tipe	0.17
hari	burung	0.26
hari	korban	0.29
hari	konsumen	0.24
hari	putra	0.21
hari	saudara	0.25
hari	manajemen	0.19
hari	agen	0.23
hari	tentara	0.29
hari	objek	0.2
hari	generasi	0.37
hari	putri	0.22
hari	umur	0.37
hari	presiden	0.32
hari	pajak	0.22
hari	makhluk	0.27
hari	ujung	0.25
hari	pasien	0.3
hari	kelapa	0.23
hari	polisi	0.25
hari	luka	0.27
hari	suhu	0.31
hari	sahabat	0.33
hari	staf	0.16
hari	radio	0.25
hari	kampung	0.3
hari	aktor	0.14
hari	ulama	0.23
hari	artis	0.2
hari	kontak	0.26
hari	lelaki	0.29
hari	murid	0.26
hari	ketua	0.25
hari	wakil	0.24
hari	pegawai	0.24
hari	musuh	0.25
hari	adik	0.27
hari	dewa	0.24
hari	biji	0.3
hari	kakak	0.25
hari	produsen	0.18
hari	menteri	0.28
hari	profesi	0.22
hari	mitra	0.26
hari	raksasa	0.18
hari	manajer	0.21
hari	dosen	0.21
hari	sutradara	0.08
hari	buruh	0.27
hari	nenek	0.27
hari	induk	0.26
hari	rekan	0.28
hari	tetangga	0.27
hari	kuasa	0.16
hari	bandar	0.22
hari	terapi	0.24
hari	malaikat	0.28
hari	gubernur	0.22
hari	prajurit	0.23
hari	tukang	0.18
hari	operator	0.21
hari	pakar	0.22
hari	wartawan	0.28
hari	pacar	0.24
hari	produser	0.15
hari	senior	0.22
hari	wali	0.21
hari	saksi	0.29
hari	kawan	0.34
hari	hamba	0.25
hari	obyek	0.22
hari	seniman	0.18
hari	dewan	0.23
hari	hakim	0.25
hari	kaisar	0.24
hari	famili	0.14
hari	pahlawan	0.28
hari	investor	0.21
hari	perwira	0.19
hari	legenda	0.21
hari	eksekutif	0.21
hari	budak	0.24
hari	mama	0.24
hari	kerangka	0.26
hari	cucu	0.31
hari	tambang	0.22
hari	nelayan	0.24
hari	hantu	0.21
hari	atlet	0.21
hari	isteri	0.26
hari	pendeta	0.24
hari	direktur	0.17
hari	politikus	0.16
hari	formasi	0.21
hari	panitia	0.24
hari	aktivis	0.26
hari	jenderal	0.19
hari	pilot	0.14
hari	kandidat	0.25
hari	mayat	0.28
hari	subjek	0.21
hari	wasit	0.13
hari	balita	0.23
hari	pangeran	0.23
hari	asisten	0.15
hari	responden	0.16
hari	juru	0.16
hari	awak	0.19
hari	distributor	0.17
hari	kakek	0.26
hari	profesor	0.15
hari	komandan	0.21
hari	kerabat	0.27
hari	komunis	0.18
hari	teroris	0.22
hari	arsitek	0.11
hari	politisi	0.18
hari	ratu	0.25
hari	desainer	0.15
hari	kapten	0.16
hari	sekutu	0.21
hari	alumni	0.19
hari	sponsor	0.14
hari	atasan	0.22
hari	vokalis	0.09
hari	santri	0.25
hari	sekretaris	0.17
hari	jurnalis	0.21
hari	kritikus	0.17
hari	oknum	0.15
hari	konsultan	0.17
hari	turis	0.2
hari	bidan	0.17
hari	rasul	0.27
hari	iblis	0.19
hari	demonstrasi	0.34
hari	janda	0.22
hari	elit	0.15
hari	kader	0.16
hari	waris	0.12
hari	insinyur	0.13
hari	dukun	0.2
hari	audit	0.21
hari	duta	0.18
hari	doktor	0.21
hari	bubur	0.26
hari	intelijen	0.18
hari	praktisi	0.18
hari	walikota	0.24
hari	finalis	0.24
hari	panglima	0.19
hari	imigran	0.21
hari	resepsionis	0.13
hari	delegasi	0.2
hari	spektrum	0.18
hari	keponakan	0.25
hari	teknisi	0.19
hari	jago	0.12
hari	kiper	0.09
hari	propaganda	0.15
hari	analis	0.18
hari	striker	0.15
hari	ekonom	0.16
hari	tuna	0.09
hari	supir	0.12
hari	ksatria	0.16
hari	dalang	0.19
hari	wirausaha	0.15
hari	majikan	0.24
hari	administrator	0.16
hari	pucuk	0.2
hari	kapitalis	0.12
hari	agensi	0.17
hari	mukmin	0.23
hari	detektif	0.17
hari	jaksa	0.19
hari	kolektor	0.13
hari	macan	0.17
hari	preman	0.15
hari	direksi	0.15
hari	fasilitator	0.12
hari	kristen	0.19
hari	bibi	0.19
hari	pramuka	0.19
hari	botani	0.11
hari	jemaah	0.24
hari	debitur	0.14
hari	diktator	0.07
hari	abdi	0.14
hari	lurah	0.16
hari	milisi	0.16
hari	demonstran	0.2
hari	sandera	0.18
hari	astronot	0.21
hari	serdadu	0.15
hari	bendahara	0.14
hari	kuli	0.22
hari	kreditur	0.15
hari	biang	0.13
hari	separatis	0.17
hari	mumi	0.16
hari	informan	0.16
hari	humas	0.11
hari	cleaning	0.13
hari	duda	0.12
hari	eksportir	0.15
hari	wiraswasta	0.12
hari	nona	0.15
hari	deputi	0.18
hari	firaun	0.15
hari	marinir	0.19
hari	inspektur	0.24
hari	pialang	0.24
hari	miliarder	0.18
hari	satria	0.13
hari	panelis	0.16
hari	habib	0.17
hari	penterjemah	0.1
hari	wapres	0.16
hari	marxis	0.04
hari	madam	0.14
bahasa	dalam	0.47
bahasa	tahun	0.18
bahasa	orang	0.39
bahasa	saat	0.24
bahasa	anak	0.3
bahasa	tempat	0.32
bahasa	diri	0.28
bahasa	manusia	0.31
bahasa	hasil	0.28
bahasa	masyarakat	0.36
bahasa	kelas	0.32
bahasa	hidup	0.3
bahasa	wanita	0.29
bahasa	anggota	0.26
bahasa	keluarga	0.26
bahasa	data	0.32
bahasa	ibu	0.31
bahasa	kelompok	0.32
bahasa	jam	0.19
bahasa	tim	0.27
bahasa	kulit	0.24
bahasa	bisnis	0.32
bahasa	siswa	0.35
bahasa	pihak	0.28
bahasa	pria	0.24
bahasa	media	0.39
bahasa	guru	0.38
bahasa	perempuan	0.29
bahasa	kepala	0.23
bahasa	bumi	0.25
bahasa	politik	0.38
bahasa	teman	0.26
bahasa	bangsa	0.41
bahasa	batu	0.24
bahasa	warga	0.31
bahasa	perangkat	0.38
bahasa	model	0.28
bahasa	bayi	0.25
bahasa	mahasiswa	0.33
bahasa	dokter	0.25
bahasa	internet	0.38
bahasa	raja	0.26
bahasa	rakyat	0.32
bahasa	ahli	0.39
bahasa	tokoh	0.35
bahasa	pasukan	0.3
bahasa	tenaga	0.32
bahasa	kaum	0.29
bahasa	istri	0.19
bahasa	militer	0.29
bahasa	karakter	0.38
bahasa	gadis	0.23
bahasa	suami	0.19
bahasa	calon	0.22
bahasa	ayah	0.26
bahasa	tamu	0.25
bahasa	individu	0.25
bahasa	remaja	0.24
bahasa	umat	0.28
bahasa	mantan	0.19
bahasa	matahari	0.23
bahasa	tipe	0.25
bahasa	burung	0.26
bahasa	korban	0.12
bahasa	konsumen	0.2
bahasa	putra	0.2
bahasa	saudara	0.21
bahasa	manajemen	0.3
bahasa	agen	0.29
bahasa	tentara	0.33
bahasa	objek	0.3
bahasa	generasi	0.28
bahasa	putri	0.2
bahasa	umur	0.18
bahasa	presiden	0.22
bahasa	pajak	0.25
bahasa	makhluk	0.29
bahasa	ujung	0.2
bahasa	pasien	0.16
bahasa	kelapa	0.22
bahasa	polisi	0.22
bahasa	luka	0.17
bahasa	suhu	0.19
bahasa	sahabat	0.25
bahasa	staf	0.24
bahasa	radio	0.31
bahasa	kampung	0.31
bahasa	aktor	0.26
bahasa	ulama	0.31
bahasa	artis	0.26
bahasa	kontak	0.27
bahasa	lelaki	0.23
bahasa	murid	0.26
bahasa	ketua	0.19
bahasa	wakil	0.27
bahasa	pegawai	0.24
bahasa	musuh	0.17
bahasa	adik	0.17
bahasa	dewa	0.23
bahasa	biji	0.23
bahasa	kakak	0.22
bahasa	produsen	0.23
bahasa	menteri	0.24
bahasa	profesi	0.3
bahasa	mitra	0.25
bahasa	raksasa	0.23
bahasa	manajer	0.24
bahasa	dosen	0.33
bahasa	sutradara	0.26
bahasa	buruh	0.22
bahasa	nenek	0.23
bahasa	induk	0.29
bahasa	rekan	0.2
bahasa	tetangga	0.22
bahasa	kuasa	0.2
bahasa	bandar	0.22
bahasa	terapi	0.25
bahasa	malaikat	0.21
bahasa	gubernur	0.21
bahasa	prajurit	0.23
bahasa	tukang	0.22
bahasa	operator	0.27
bahasa	pakar	0.38
bahasa	wartawan	0.22
bahasa	pacar	0.22
bahasa	produser	0.23
bahasa	senior	0.29
bahasa	wali	0.21
bahasa	saksi	0.17
bahasa	kawan	0.24
bahasa	hamba	0.21
bahasa	obyek	0.27
bahasa	seniman	0.27
bahasa	dewan	0.21
bahasa	hakim	0.18
bahasa	kaisar	0.21
bahasa	famili	0.22
bahasa	pahlawan	0.23
bahasa	investor	0.18
bahasa	perwira	0.22
bahasa	legenda	0.3
bahasa	eksekutif	0.19
bahasa	budak	0.22
bahasa	mama	0.15
bahasa	kerangka	0.26
bahasa	cucu	0.13
bahasa	tambang	0.21
bahasa	nelayan	0.21
bahasa	hantu	0.24
bahasa	atlet	0.19
bahasa	isteri	0.17
bahasa	pendeta	0.27
bahasa	direktur	0.13
bahasa	politikus	0.27
bahasa	formasi	0.21
bahasa	panitia	0.15
bahasa	aktivis	0.22
bahasa	jenderal	0.14
bahasa	pilot	0.19
bahasa	kandidat	0.22
bahasa	mayat	0.18
bahasa	subjek	0.33
bahasa	wasit	0.13
bahasa	balita	0.18
bahasa	pangeran	0.22
bahasa	asisten	0.24
bahasa	responden	0.19
bahasa	juru	0.24
bahasa	awak	0.19
bahasa	distributor	0.21
bahasa	kakek	0.21
bahasa	profesor	0.28
bahasa	komandan	0.19
bahasa	kerabat	0.23
bahasa	komunis	0.28
bahasa	teroris	0.19
bahasa	arsitek	0.27
bahasa	politisi	0.26
bahasa	ratu	0.24
bahasa	desainer	0.24
bahasa	kapten	0.14
bahasa	sekutu	0.2
bahasa	alumni	0.22
bahasa	sponsor	0.16
bahasa	atasan	0.22
bahasa	vokalis	0.22
bahasa	santri	0.24
bahasa	sekretaris	0.24
bahasa	jurnalis	0.31
bahasa	kritikus	0.28
bahasa	oknum	0.15
bahasa	konsultan	0.26
bahasa	turis	0.33
bahasa	bidan	0.23
bahasa	rasul	0.25
bahasa	iblis	0.19
bahasa	demonstrasi	0.24
bahasa	janda	0.13
bahasa	elit	0.25
bahasa	kader	0.2
bahasa	waris	0.22
bahasa	insinyur	0.24
bahasa	dukun	0.22
bahasa	audit	0.2
bahasa	duta	0.26
bahasa	doktor	0.24
bahasa	bubur	0.22
bahasa	intelijen	0.29
bahasa	praktisi	0.26
bahasa	walikota	0.19
bahasa	finalis	0.2
bahasa	panglima	0.19
bahasa	imigran	0.31
bahasa	resepsionis	0.18
bahasa	delegasi	0.25
bahasa	spektrum	0.2
bahasa	keponakan	0.13
bahasa	teknisi	0.24
bahasa	jago	0.3
bahasa	kiper	0.18
bahasa	propaganda	0.32
bahasa	analis	0.18
bahasa	striker	0.19
bahasa	ekonom	0.2
bahasa	tuna	0.25
bahasa	supir	0.19
bahasa	ksatria	0.21
bahasa	dalang	0.18
bahasa	wirausaha	0.18
bahasa	majikan	0.17
bahasa	administrator	0.23
bahasa	pucuk	0.17
bahasa	kapitalis	0.15
bahasa	agensi	0.23
bahasa	mukmin	0.17
bahasa	detektif	0.2
bahasa	jaksa	0.19
bahasa	kolektor	0.15
bahasa	macan	0.16
bahasa	preman	0.18
bahasa	direksi	0.12
bahasa	fasilitator	0.18
bahasa	kristen	0.28
bahasa	bibi	0.19
bahasa	pramuka	0.23
bahasa	botani	0.33
bahasa	jemaah	0.17
bahasa	debitur	0.12
bahasa	diktator	0.17
bahasa	abdi	0.16
bahasa	lurah	0.11
bahasa	milisi	0.21
bahasa	demonstran	0.15
bahasa	sandera	0.15
bahasa	astronot	0.21
bahasa	serdadu	0.24
bahasa	bendahara	0.16
bahasa	kuli	0.15
bahasa	kreditur	0.13
bahasa	biang	0.14
bahasa	separatis	0.2
bahasa	mumi	0.13
bahasa	informan	0.24
bahasa	humas	0.18
bahasa	cleaning	0.13
bahasa	duda	0.09
bahasa	eksportir	0.17
bahasa	wiraswasta	0.11
bahasa	nona	0.12
bahasa	deputi	0.12
bahasa	firaun	0.08
bahasa	marinir	0.18
bahasa	inspektur	0.14
bahasa	pialang	0.17
bahasa	miliarder	0.14
bahasa	satria	0.11
bahasa	panelis	0.17
bahasa	habib	0.19
bahasa	penterjemah	0.5
bahasa	wapres	0.12
bahasa	marxis	0.24
bahasa	madam	0.37
anak	dalam	0.32
anak	tahun	0.34
anak	orang	0.64
anak	saat	0.43
anak	tempat	0.38
anak	diri	0.39
anak	manusia	0.45
anak	hasil	0.29
anak	masyarakat	0.42
anak	kelas	0.42
anak	hidup	0.4
anak	wanita	0.5
anak	anggota	0.44
anak	keluarga	0.57
anak	data	0.25
anak	ibu	0.62
anak	kelompok	0.45
anak	jam	0.26
anak	tim	0.32
anak	kulit	0.34
anak	bisnis	0.33
anak	siswa	0.52
anak	pihak	0.38
anak	pria	0.44
anak	media	0.27
anak	guru	0.46
anak	perempuan	0.64
anak	kepala	0.43
anak	bumi	0.23
anak	politik	0.26
anak	teman	0.48
anak	bangsa	0.43
anak	batu	0.28
anak	warga	0.46
anak	perangkat	0.29
anak	model	0.3
anak	bayi	0.65
anak	mahasiswa	0.41
anak	dokter	0.4
anak	internet	0.28
anak	raja	0.42
anak	rakyat	0.35
anak	ahli	0.28
anak	tokoh	0.43
anak	pasukan	0.3
anak	tenaga	0.31
anak	kaum	0.44
anak	istri	0.59
anak	militer	0.25
anak	karakter	0.44
anak	gadis	0.54
anak	suami	0.53
anak	calon	0.49
anak	ayah	0.61
anak	tamu	0.31
anak	individu	0.46
anak	remaja	0.59
anak	umat	0.37
anak	mantan	0.39
anak	matahari	0.2
anak	tipe	0.31
anak	burung	0.4
anak	korban	0.41
anak	konsumen	0.36
anak	putra	0.58
anak	saudara	0.51
anak	manajemen	0.22
anak	agen	0.26
anak	tentara	0.37
anak	objek	0.3
anak	generasi	0.48
anak	putri	0.55
anak	umur	0.52
anak	presiden	0.33
anak	pajak	0.24
anak	makhluk	0.38
anak	ujung	0.27
anak	pasien	0.4
anak	kelapa	0.29
anak	polisi	0.33
anak	luka	0.23
anak	suhu	0.21
anak	sahabat	0.39
anak	staf	0.21
anak	radio	0.24
anak	kampung	0.39
anak	aktor	0.35
anak	ulama	0.29
anak	artis	0.36
anak	kontak	0.23
anak	lelaki	0.58
anak	murid	0.53
anak	ketua	0.31
anak	wakil	0.35
anak	pegawai	0.39
anak	musuh	0.28
anak	adik	0.62
anak	dewa	0.28
anak	biji	0.32
anak	kakak	0.56
anak	produsen	0.31
anak	menteri	0.3
anak	profesi	0.29
anak	mitra	0.29
anak	raksasa	0.26
anak	manajer	0.33
anak	dosen	0.33
anak	sutradara	0.29
anak	buruh	0.33
anak	nenek	0.45
anak	induk	0.45
anak	rekan	0.35
anak	tetangga	0.41
anak	kuasa	0.26
anak	bandar	0.23
anak	terapi	0.27
anak	malaikat	0.32
anak	gubernur	0.28
anak	prajurit	0.36
anak	tukang	0.29
anak	operator	0.27
anak	pakar	0.26
anak	wartawan	0.3
anak	pacar	0.39
anak	produser	0.28
anak	senior	0.29
anak	wali	0.41
anak	saksi	0.26
anak	kawan	0.35
anak	hamba	0.39
anak	obyek	0.3
anak	seniman	0.35
anak	dewan	0.3
anak	hakim	0.32
anak	kaisar	0.3
anak	famili	0.23
anak	pahlawan	0.34
anak	investor	0.32
anak	perwira	0.33
anak	legenda	0.2
anak	eksekutif	0.3
anak	budak	0.39
anak	mama	0.44
anak	kerangka	0.21
anak	cucu	0.62
anak	tambang	0.25
anak	nelayan	0.33
anak	hantu	0.29
anak	atlet	0.38
anak	isteri	0.53
anak	pendeta	0.34
anak	direktur	0.27
anak	politikus	0.33
anak	formasi	0.17
anak	panitia	0.2
anak	aktivis	0.33
anak	jenderal	0.26
anak	pilot	0.29
anak	kandidat	0.32
anak	mayat	0.33
anak	subjek	0.34
anak	wasit	0.23
anak	balita	0.64
anak	pangeran	0.39
anak	asisten	0.29
anak	responden	0.28
anak	juru	0.18
anak	awak	0.28
anak	distributor	0.24
anak	kakek	0.47
anak	profesor	0.26
anak	komandan	0.29
anak	kerabat	0.41
anak	komunis	0.18
anak	teroris	0.27
anak	arsitek	0.31
anak	politisi	0.33
anak	ratu	0.28
anak	desainer	0.33
anak	kapten	0.25
anak	sekutu	0.22
anak	alumni	0.29
anak	sponsor	0.18
anak	atasan	0.29
anak	vokalis	0.22
anak	santri	0.38
anak	sekretaris	0.24
anak	jurnalis	0.32
anak	kritikus	0.23
anak	oknum	0.33
anak	konsultan	0.26
anak	turis	0.31
anak	bidan	0.3
anak	rasul	0.25
anak	iblis	0.31
anak	demonstrasi	0.21
anak	janda	0.46
anak	elit	0.26
anak	kader	0.34
anak	waris	0.36
anak	insinyur	0.3
anak	dukun	0.27
anak	audit	0.11
anak	duta	0.29
anak	doktor	0.25
anak	bubur	0.28
anak	intelijen	0.17
anak	praktisi	0.24
anak	walikota	0.32
anak	finalis	0.24
anak	panglima	0.31
anak	imigran	0.37
anak	resepsionis	0.12
anak	delegasi	0.21
anak	spektrum	0.18
anak	keponakan	0.57
anak	teknisi	0.28
anak	jago	0.25
anak	kiper	0.27
anak	propaganda	0.11
anak	analis	0.12
anak	striker	0.26
anak	ekonom	0.27
anak	tuna	0.27
anak	supir	0.28
anak	ksatria	0.25
anak	dalang	0.23
anak	wirausaha	0.32
anak	majikan	0.35
anak	administrator	0.22
anak	pucuk	0.25
anak	kapitalis	0.15
anak	agensi	0.18
anak	mukmin	0.3
anak	detektif	0.26
anak	jaksa	0.25
anak	kolektor	0.23
anak	macan	0.26
anak	preman	0.28
anak	direksi	0.22
anak	fasilitator	0.24
anak	kristen	0.3
anak	bibi	0.37
anak	pramuka	0.29
anak	botani	0.15
anak	jemaah	0.27
anak	debitur	0.25
anak	diktator	0.21
anak	abdi	0.25
anak	lurah	0.24
anak	milisi	0.21
anak	demonstran	0.19
anak	sandera	0.29
anak	astronot	0.26
anak	serdadu	0.27
anak	bendahara	0.23
anak	kuli	0.25
anak	kreditur	0.19
anak	biang	0.23
anak	separatis	0.17
anak	mumi	0.22
anak	informan	0.23
anak	humas	0.11
anak	cleaning	0.13
anak	duda	0.4
anak	eksportir	0.19
anak	wiraswasta	0.25
anak	nona	0.23
anak	deputi	0.18
anak	firaun	0.29
anak	marinir	0.19
anak	inspektur	0.21
anak	pialang	0.25
anak	miliarder	0.32
anak	satria	0.19
anak	panelis	0.2
anak	habib	0.21
anak	penterjemah	0.18
anak	wapres	0.16
anak	marxis	0.11
anak	madam	0.19
tempat	dalam	0.47
tempat	tahun	0.27
tempat	orang	0.46
tempat	saat	0.5
tempat	diri	0.34
tempat	manusia	0.38
tempat	hasil	0.41
tempat	masyarakat	0.39
tempat	kelas	0.37
tempat	hidup	0.44
tempat	wanita	0.34
tempat	anggota	0.36
tempat	keluarga	0.4
tempat	data	0.32
tempat	ibu	0.33
tempat	kelompok	0.38
tempat	jam	0.37
tempat	tim	0.33
tempat	kulit	0.32
tempat	bisnis	0.4
tempat	siswa	0.27
tempat	pihak	0.33
tempat	pria	0.3
tempat	media	0.38
tempat	guru	0.3
tempat	perempuan	0.34
tempat	kepala	0.35
tempat	bumi	0.39
tempat	politik	0.35
tempat	teman	0.4
tempat	bangsa	0.28
tempat	batu	0.4
tempat	warga	0.39
tempat	perangkat	0.39
tempat	model	0.32
tempat	bayi	0.34
tempat	mahasiswa	0.27
tempat	dokter	0.28
tempat	internet	0.34
tempat	raja	0.31
tempat	rakyat	0.31
tempat	ahli	0.31
tempat	tokoh	0.36
tempat	pasukan	0.28
tempat	tenaga	0.33
tempat	kaum	0.25
tempat	istri	0.31
tempat	militer	0.27
tempat	karakter	0.3
tempat	gadis	0.33
tempat	suami	0.29
tempat	calon	0.34
tempat	ayah	0.27
tempat	tamu	0.43
tempat	individu	0.35
tempat	remaja	0.28
tempat	umat	0.3
tempat	mantan	0.24
tempat	matahari	0.32
tempat	tipe	0.31
tempat	burung	0.32
tempat	korban	0.31
tempat	konsumen	0.3
tempat	putra	0.25
tempat	saudara	0.28
tempat	manajemen	0.32
tempat	agen	0.36
tempat	tentara	0.34
tempat	objek	0.5
tempat	generasi	0.25
tempat	putri	0.24
tempat	umur	0.32
tempat	presiden	0.29
tempat	pajak	0.31
tempat	makhluk	0.39
tempat	ujung	0.44
tempat	pasien	0.3
tempat	kelapa	0.25
