noun_w_orang_noaffix	noun_w_orang_affixed	cossim
dalam	pengutang	0.19
dalam	pembisik	0.21
dalam	pengetuk	0.26
dalam	pemberang	0.32
dalam	peneguh	0.36
dalam	pewirausaha	0.26
dalam	pencuriga	0.26
dalam	pengalah	0.39
dalam	pengalasan	0.31
dalam	pengamuk	0.31
tahun	pemain	0.18
tahun	penduduk	0.34
tahun	pengguna	0.19
tahun	wisatawan	0.21
tahun	penelitian	0.36
tahun	pasangan	0.21
tahun	penulis	0.25
tahun	pemimpin	0.21
tahun	peserta	0.28
tahun	pengunjung	0.24
tahun	penderita	0.22
tahun	pembelajaran	0.21
tahun	pelayanan	0.18
tahun	kehilangan	0.25
tahun	keturunan	0.2
tahun	pemilik	0.19
tahun	penyanyi	0.21
tahun	karyawan	0.19
tahun	pelanggan	0.22
tahun	kelahiran	0.46
tahun	perdagangan	0.23
tahun	petani	0.24
tahun	pekerja	0.22
tahun	kepercayaan	0.18
tahun	pemuda	0.28
tahun	penumpang	0.19
tahun	pimpinan	0.18
tahun	pembaca	0.2
tahun	kekurangan	0.16
tahun	pejabat	0.21
tahun	campuran	0.17
tahun	pelaku	0.13
tahun	peneliti	0.26
tahun	pengusaha	0.24
tahun	pendukung	0.11
tahun	petunjuk	0.15
tahun	pemenang	0.23
tahun	petugas	0.17
tahun	perbaikan	0.27
tahun	pelatih	0.17
tahun	pedagang	0.21
tahun	pelajar	0.26
tahun	pengurus	0.18
tahun	jurusan	0.16
tahun	ilmuwan	0.25
tahun	pendiri	0.19
tahun	angkatan	0.37
tahun	sasaran	0.19
tahun	pembuat	0.14
tahun	penjual	0.15
tahun	pengganti	0.17
tahun	perwakilan	0.15
tahun	lulusan	0.29
tahun	pembeli	0.17
tahun	penerima	0.18
tahun	pergerakan	0.22
tahun	pemegang	0.22
tahun	penyedia	0.15
tahun	penjaga	0.17
tahun	pencari	0.14
tahun	pembawa	0.11
tahun	undangan	0.23
tahun	cadangan	0.19
tahun	pemeran	0.13
tahun	bangsawan	0.21
tahun	pembantu	0.15
tahun	pengarang	0.16
tahun	pengelola	0.15
tahun	pejuang	0.16
tahun	tahanan	0.18
tahun	pengikut	0.16
tahun	rombongan	0.21
tahun	pengajar	0.17
tahun	pendidik	0.13
tahun	penghuni	0.2
tahun	pengembang	0.21
tahun	jajaran	0.18
tahun	pembuka	0.18
tahun	penari	0.16
tahun	pemberi	0.1
tahun	pelayan	0.14
tahun	pendatang	0.24
tahun	pembunuh	0.14
tahun	penyelenggara	0.2
tahun	turunan	0.18
tahun	pelukis	0.14
tahun	utusan	0.19
tahun	pembiayaan	0.2
tahun	pengacara	0.2
tahun	perawat	0.17
tahun	penganut	0.14
tahun	pengamat	0.14
tahun	penghubung	0.07
tahun	pesaing	0.1
tahun	pengawas	0.17
tahun	penjahat	0.17
tahun	pelaksana	0.14
tahun	kebangsaan	0.17
tahun	pembicara	0.13
tahun	pengantar	0.14
tahun	pendengar	0.12
tahun	pendamping	0.18
tahun	pewaris	0.13
tahun	pengungsi	0.19
tahun	pengendara	0.16
tahun	pencuri	0.15
tahun	pemburu	0.18
tahun	pengawal	0.22
tahun	penemu	0.13
tahun	pengemudi	0.11
tahun	penerjemah	0.1
tahun	pemandu	0.12
tahun	tawanan	0.18
tahun	penegak	0.1
tahun	penutur	0.15
tahun	penyihir	0.15
tahun	pelamar	0.18
tahun	pemasok	0.13
tahun	penanda	0.21
tahun	pemikir	0.14
tahun	saingan	0.14
tahun	pembimbing	0.07
tahun	petinggi	0.21
tahun	pelaut	0.19
tahun	pengrajin	0.18
tahun	langganan	0.19
tahun	pencinta	0.12
tahun	kenalan	0.24
tahun	penyidik	0.13
tahun	pelacur	0.16
tahun	pengirim	0.13
tahun	perusak	0.1
tahun	pendiam	0.16
tahun	pemeluk	0.19
tahun	penikmat	0.12
tahun	pemangku	0.15
tahun	perampok	0.15
tahun	pelarian	0.16
tahun	pengidap	0.12
tahun	penunjuk	0.1
tahun	pemuka	0.11
tahun	pengemis	0.2
tahun	pemusik	0.15
tahun	sukarelawan	0.22
tahun	penerbang	0.17
tahun	pejalan	0.18
tahun	petinju	0.14
tahun	penyandang	0.15
tahun	penanggung	0.08
tahun	penolong	0.05
tahun	jagoan	0.15
tahun	penembak	0.08
tahun	penipu	0.08
tahun	penyelamat	0.13
tahun	pendaftar	0.23
tahun	pelari	0.18
tahun	pengiring	0.16
tahun	penata	0.12
tahun	pengambil	0.1
tahun	penuntut	0.12
tahun	pembina	0.09
tahun	tanggungan	0.18
tahun	pencetus	0.11
tahun	pemangsa	0.1
tahun	penyebar	0.05
tahun	pemesan	0.16
tahun	dermawan	0.08
tahun	pemeriksa	0.14
tahun	negarawan	0.1
tahun	pengukur	0.1
tahun	penambang	0.19
tahun	pembajak	0.08
tahun	budayawan	0.11
tahun	perekam	0.13
tahun	penyayang	0.11
tahun	pemukul	0.09
tahun	perencana	0.16
tahun	pengumpul	0.09
tahun	wirausahawan	0.14
tahun	penangkap	0.1
tahun	penyelam	0.17
tahun	pemasar	0.14
tahun	pemalas	0.07
tahun	penarik	0.1
tahun	pengembara	0.21
tahun	gerilyawan	0.15
tahun	penggagas	0.13
tahun	penyembah	0.11
tahun	penilai	0.11
tahun	penguji	0.14
tahun	pengunjuk	0.12
tahun	penyembuh	0.03
tahun	rohaniwan	0.13
tahun	pemanah	0.12
tahun	penyelidik	0.18
tahun	penampil	0.15
tahun	peranakan	0.11
tahun	suruhan	0.03
tahun	usahawan	0.2
tahun	pelapor	0.13
tahun	pemahat	0.14
tahun	penunggu	0.11
tahun	penurut	0.15
tahun	pengusul	0.08
tahun	pemimpi	0.13
tahun	penyusup	0.1
tahun	pemungut	0.14
tahun	penceramah	0.13
tahun	penggarap	0.16
tahun	pelupa	0.09
tahun	perupa	0.18
tahun	penyendiri	0.17
tahun	pemateri	0.09
tahun	penggali	0.17
tahun	penukar	0.12
tahun	penyabar	0.1
tahun	pelempar	0.05
tahun	pemborong	0.16
tahun	pendemo	0.13
tahun	pencerita	0.12
tahun	penyelundup	0.05
tahun	penganggur	0.2
tahun	penggiling	0.21
tahun	pengulas	0.17
tahun	penagih	0.14
tahun	hartawan	0.15
tahun	perumus	0.11
tahun	peniup	0.11
tahun	penggalang	0.23
tahun	pembenci	0.08
tahun	pengkaji	0.21
tahun	pembebas	0.05
tahun	pemetik	0.15
tahun	penjilat	0.04
tahun	pencabut	0.12
tahun	peramah	0.14
tahun	pengukir	0.21
tahun	pengejar	0.16
tahun	pemerah	0.13
tahun	wiraswastawan	0.19
tahun	pemulia	0.13
tahun	penendang	0.16
tahun	penyimak	0.12
tahun	pelestari	0.1
tahun	penjemput	0.11
tahun	pembaru	0.15
tahun	penghayat	0.18
tahun	pengadu	0.06
tahun	pemasak	0.1
tahun	pembobol	0.07
tahun	penggemblengan	0.22
tahun	penghasut	0.06
tahun	penderma	0.13
tahun	pemaksa	0.01
tahun	peragu	0.11
tahun	pengekor	0.08
tahun	perayu	0.07
tahun	pendebat	0.09
tahun	penyuara	0.06
tahun	pemimpinan	0.14
tahun	penghadang	0.1
tahun	pengasah	0.16
tahun	pengutang	0.14
tahun	pembisik	0.05
tahun	pengetuk	0.15
tahun	pemberang	0.23
tahun	peneguh	0.11
tahun	pewirausaha	0.11
tahun	pencuriga	0.2
tahun	pengalah	0.16
tahun	pengalasan	0.13
tahun	pengamuk	0.19
orang	pemain	0.48
orang	penduduk	0.57
orang	pengguna	0.5
orang	wisatawan	0.41
orang	penelitian	0.27
orang	pasangan	0.49
orang	penulis	0.45
orang	pemimpin	0.54
orang	peserta	0.53
orang	pengunjung	0.45
orang	penderita	0.52
orang	pembelajaran	0.25
orang	pelayanan	0.32
orang	kehilangan	0.46
orang	keturunan	0.47
orang	pemilik	0.47
orang	penyanyi	0.42
orang	karyawan	0.5
orang	pelanggan	0.47
orang	kelahiran	0.34
orang	perdagangan	0.29
orang	petani	0.44
orang	pekerja	0.51
orang	kepercayaan	0.41
orang	pemuda	0.52
orang	penumpang	0.47
orang	pimpinan	0.42
orang	pembaca	0.46
orang	kekurangan	0.34
orang	pejabat	0.53
orang	campuran	0.34
orang	pelaku	0.48
orang	peneliti	0.43
orang	pengusaha	0.53
orang	pendukung	0.4
orang	petunjuk	0.28
orang	pemenang	0.34
orang	petugas	0.43
orang	perbaikan	0.25
orang	pelatih	0.37
orang	pedagang	0.49
orang	pelajar	0.51
orang	pengurus	0.37
orang	jurusan	0.31
orang	ilmuwan	0.45
orang	pendiri	0.38
orang	angkatan	0.36
orang	sasaran	0.33
orang	pembuat	0.39
orang	penjual	0.41
orang	pengganti	0.3
orang	perwakilan	0.34
orang	lulusan	0.38
orang	pembeli	0.48
orang	penerima	0.42
orang	pergerakan	0.28
orang	pemegang	0.38
orang	penyedia	0.34
orang	penjaga	0.35
orang	pencari	0.37
orang	pembawa	0.31
orang	undangan	0.36
orang	cadangan	0.24
orang	pemeran	0.36
orang	bangsawan	0.43
orang	pembantu	0.42
orang	pengarang	0.4
orang	pengelola	0.35
orang	pejuang	0.46
orang	tahanan	0.34
orang	pengikut	0.49
orang	rombongan	0.44
orang	pengajar	0.43
orang	pendidik	0.46
orang	penghuni	0.47
orang	pengembang	0.33
orang	jajaran	0.34
orang	pembuka	0.2
orang	penari	0.35
orang	pemberi	0.38
orang	pelayan	0.39
orang	pendatang	0.45
orang	pembunuh	0.37
orang	penyelenggara	0.36
orang	turunan	0.29
orang	pelukis	0.36
orang	utusan	0.39
orang	pembiayaan	0.24
orang	pengacara	0.38
orang	perawat	0.4
orang	penganut	0.42
orang	pengamat	0.42
orang	penghubung	0.29
orang	pesaing	0.35
orang	pengawas	0.34
orang	penjahat	0.44
orang	pelaksana	0.3
orang	kebangsaan	0.27
orang	pembicara	0.39
orang	pengantar	0.31
orang	pendengar	0.47
orang	pendamping	0.36
orang	pewaris	0.31
orang	pengungsi	0.38
orang	pengendara	0.44
orang	pencuri	0.38
orang	pemburu	0.35
orang	pengawal	0.4
orang	penemu	0.39
orang	pengemudi	0.41
orang	penerjemah	0.3
orang	pemandu	0.28
orang	tawanan	0.39
orang	penegak	0.34
orang	penutur	0.44
orang	penyihir	0.32
orang	pelamar	0.45
orang	pemasok	0.28
orang	penanda	0.28
orang	pemikir	0.41
orang	saingan	0.33
orang	pembimbing	0.34
orang	petinggi	0.44
orang	pelaut	0.43
orang	pengrajin	0.37
orang	langganan	0.3
orang	pencinta	0.36
orang	kenalan	0.47
orang	penyidik	0.34
orang	pelacur	0.34
orang	pengirim	0.38
orang	perusak	0.35
orang	pendiam	0.37
orang	pemeluk	0.43
orang	penikmat	0.37
orang	pemangku	0.32
orang	perampok	0.37
orang	pelarian	0.37
orang	pengidap	0.39
orang	penunjuk	0.27
orang	pemuka	0.49
orang	pengemis	0.4
orang	pemusik	0.4
orang	sukarelawan	0.39
orang	penerbang	0.32
orang	pejalan	0.45
orang	petinju	0.32
orang	penyandang	0.41
orang	penanggung	0.32
orang	penolong	0.4
orang	jagoan	0.34
orang	penembak	0.32
orang	penipu	0.35
orang	penyelamat	0.34
orang	pendaftar	0.41
orang	pelari	0.38
orang	pengiring	0.31
orang	penata	0.27
orang	pengambil	0.36
orang	penuntut	0.36
orang	pembina	0.34
orang	tanggungan	0.38
orang	pencetus	0.3
orang	pemangsa	0.29
orang	penyebar	0.3
orang	pemesan	0.31
orang	dermawan	0.38
orang	pemeriksa	0.29
orang	negarawan	0.39
orang	pengukur	0.2
orang	penambang	0.32
orang	pembajak	0.3
orang	budayawan	0.35
orang	perekam	0.25
orang	penyayang	0.32
orang	pemukul	0.23
orang	perencana	0.37
orang	pengumpul	0.24
orang	wirausahawan	0.41
orang	penangkap	0.28
orang	penyelam	0.3
orang	pemasar	0.37
orang	pemalas	0.34
orang	penarik	0.35
orang	pengembara	0.43
orang	gerilyawan	0.32
orang	penggagas	0.23
orang	penyembah	0.34
orang	penilai	0.38
orang	penguji	0.28
orang	pengunjuk	0.31
orang	penyembuh	0.3
orang	rohaniwan	0.37
orang	pemanah	0.32
orang	penyelidik	0.32
orang	penampil	0.32
orang	peranakan	0.3
orang	suruhan	0.36
orang	usahawan	0.46
orang	pelapor	0.34
orang	pemahat	0.31
orang	penunggu	0.34
orang	penurut	0.35
orang	pengusul	0.27
orang	pemimpi	0.37
orang	penyusup	0.36
orang	pemungut	0.3
orang	penceramah	0.31
orang	penggarap	0.32
orang	pelupa	0.31
orang	perupa	0.36
orang	penyendiri	0.36
orang	pemateri	0.26
orang	penggali	0.3
orang	penukar	0.27
orang	penyabar	0.33
orang	pelempar	0.27
orang	pemborong	0.32
orang	pendemo	0.34
orang	pencerita	0.34
orang	penyelundup	0.27
orang	penganggur	0.35
orang	penggiling	0.25
orang	pengulas	0.36
orang	penagih	0.27
orang	hartawan	0.46
orang	perumus	0.17
orang	peniup	0.18
orang	penggalang	0.33
orang	pembenci	0.42
orang	pengkaji	0.3
orang	pembebas	0.23
orang	pemetik	0.24
orang	penjilat	0.33
orang	pencabut	0.29
orang	peramah	0.35
orang	pengukir	0.32
orang	pengejar	0.4
orang	pemerah	0.25
orang	wiraswastawan	0.39
orang	pemulia	0.33
orang	penendang	0.31
orang	penyimak	0.32
orang	pelestari	0.23
orang	penjemput	0.35
orang	pembaru	0.35
orang	penghayat	0.36
orang	pengadu	0.35
orang	pemasak	0.26
orang	pembobol	0.32
orang	penggemblengan	0.23
orang	penghasut	0.35
orang	penderma	0.37
orang	pemaksa	0.33
orang	peragu	0.33
orang	pengekor	0.37
orang	perayu	0.34
orang	pendebat	0.38
orang	penyuara	0.29
orang	pemimpinan	0.4
orang	penghadang	0.27
orang	pengasah	0.26
orang	pengutang	0.35
orang	pembisik	0.27
orang	pengetuk	0.31
orang	pemberang	0.44
orang	peneguh	0.3
orang	pewirausaha	0.37
orang	pencuriga	0.39
orang	pengalah	0.54
orang	pengalasan	0.47
orang	pengamuk	0.39
saat	pemain	0.36
saat	penduduk	0.3
saat	pengguna	0.37
saat	wisatawan	0.24
saat	penelitian	0.34
saat	pasangan	0.37
saat	penulis	0.28
saat	pemimpin	0.37
saat	peserta	0.4
saat	pengunjung	0.32
saat	penderita	0.44
saat	pembelajaran	0.33
saat	pelayanan	0.27
saat	kehilangan	0.38
saat	keturunan	0.23
saat	pemilik	0.33
saat	penyanyi	0.25
saat	karyawan	0.33
saat	pelanggan	0.33
saat	kelahiran	0.4
saat	perdagangan	0.32
saat	petani	0.31
saat	pekerja	0.32
saat	kepercayaan	0.28
saat	pemuda	0.38
saat	penumpang	0.3
saat	pimpinan	0.31
saat	pembaca	0.3
saat	kekurangan	0.32
saat	pejabat	0.32
saat	campuran	0.23
saat	pelaku	0.38
saat	peneliti	0.3
saat	pengusaha	0.35
saat	pendukung	0.32
saat	petunjuk	0.24
saat	pemenang	0.27
saat	petugas	0.36
saat	perbaikan	0.33
saat	pelatih	0.27
saat	pedagang	0.26
saat	pelajar	0.32
saat	pengurus	0.23
saat	jurusan	0.24
saat	ilmuwan	0.28
saat	pendiri	0.27
saat	angkatan	0.32
saat	sasaran	0.31
saat	pembuat	0.29
saat	penjual	0.26
saat	pengganti	0.26
saat	perwakilan	0.17
saat	lulusan	0.28
saat	pembeli	0.31
saat	penerima	0.29
saat	pergerakan	0.41
saat	pemegang	0.28
saat	penyedia	0.27
saat	penjaga	0.3
saat	pencari	0.3
saat	pembawa	0.24
saat	undangan	0.31
saat	cadangan	0.24
saat	pemeran	0.25
saat	bangsawan	0.22
saat	pembantu	0.28
saat	pengarang	0.19
saat	pengelola	0.31
saat	pejuang	0.32
saat	tahanan	0.27
saat	pengikut	0.25
saat	rombongan	0.33
saat	pengajar	0.24
saat	pendidik	0.23
saat	penghuni	0.31
saat	pengembang	0.3
saat	jajaran	0.27
saat	pembuka	0.28
saat	penari	0.19
saat	pemberi	0.2
saat	pelayan	0.21
saat	pendatang	0.29
saat	pembunuh	0.18
saat	penyelenggara	0.3
saat	turunan	0.21
saat	pelukis	0.15
saat	utusan	0.23
saat	pembiayaan	0.28
saat	pengacara	0.21
saat	perawat	0.25
saat	penganut	0.23
saat	pengamat	0.3
saat	penghubung	0.21
saat	pesaing	0.24
saat	pengawas	0.28
saat	penjahat	0.26
saat	pelaksana	0.3
saat	kebangsaan	0.26
saat	pembicara	0.3
saat	pengantar	0.29
saat	pendengar	0.28
saat	pendamping	0.3
saat	pewaris	0.19
saat	pengungsi	0.22
saat	pengendara	0.35
saat	pencuri	0.24
saat	pemburu	0.28
saat	pengawal	0.31
saat	penemu	0.2
saat	pengemudi	0.28
saat	penerjemah	0.2
saat	pemandu	0.23
saat	tawanan	0.22
saat	penegak	0.24
saat	penutur	0.25
saat	penyihir	0.16
saat	pelamar	0.27
saat	pemasok	0.19
saat	penanda	0.31
saat	pemikir	0.24
saat	saingan	0.25
saat	pembimbing	0.2
saat	petinggi	0.35
saat	pelaut	0.25
saat	pengrajin	0.21
saat	langganan	0.27
saat	pencinta	0.26
saat	kenalan	0.29
saat	penyidik	0.25
saat	pelacur	0.14
saat	pengirim	0.2
saat	perusak	0.18
saat	pendiam	0.26
saat	pemeluk	0.23
saat	penikmat	0.28
saat	pemangku	0.2
saat	perampok	0.23
saat	pelarian	0.26
saat	pengidap	0.26
saat	penunjuk	0.18
saat	pemuka	0.22
saat	pengemis	0.24
saat	pemusik	0.2
saat	sukarelawan	0.21
saat	penerbang	0.2
saat	pejalan	0.24
saat	petinju	0.21
saat	penyandang	0.2
saat	penanggung	0.19
saat	penolong	0.26
saat	jagoan	0.26
saat	penembak	0.17
saat	penipu	0.15
saat	penyelamat	0.31
saat	pendaftar	0.26
saat	pelari	0.27
saat	pengiring	0.23
saat	penata	0.19
saat	pengambil	0.28
saat	penuntut	0.2
saat	pembina	0.22
saat	tanggungan	0.24
saat	pencetus	0.3
saat	pemangsa	0.21
saat	penyebar	0.15
saat	pemesan	0.27
saat	dermawan	0.14
saat	pemeriksa	0.26
saat	negarawan	0.16
saat	pengukur	0.22
saat	penambang	0.2
saat	pembajak	0.17
saat	budayawan	0.1
saat	perekam	0.28
saat	penyayang	0.13
saat	pemukul	0.17
saat	perencana	0.26
saat	pengumpul	0.17
saat	wirausahawan	0.21
saat	penangkap	0.2
saat	penyelam	0.24
saat	pemasar	0.22
saat	pemalas	0.16
saat	penarik	0.16
saat	pengembara	0.28
saat	gerilyawan	0.21
saat	penggagas	0.23
saat	penyembah	0.16
saat	penilai	0.24
saat	penguji	0.21
saat	pengunjuk	0.19
saat	penyembuh	0.15
saat	rohaniwan	0.18
saat	pemanah	0.2
saat	penyelidik	0.24
saat	penampil	0.21
saat	peranakan	0.17
saat	suruhan	0.16
saat	usahawan	0.29
saat	pelapor	0.25
saat	pemahat	0.13
saat	penunggu	0.23
saat	penurut	0.24
saat	pengusul	0.17
saat	pemimpi	0.23
saat	penyusup	0.25
saat	pemungut	0.15
saat	penceramah	0.2
saat	penggarap	0.22
saat	pelupa	0.24
saat	perupa	0.21
saat	penyendiri	0.23
saat	pemateri	0.21
saat	penggali	0.21
saat	penukar	0.18
saat	penyabar	0.17
saat	pelempar	0.12
saat	pemborong	0.18
saat	pendemo	0.26
saat	pencerita	0.28
saat	penyelundup	0.11
saat	penganggur	0.19
saat	penggiling	0.25
saat	pengulas	0.13
saat	penagih	0.16
saat	hartawan	0.23
saat	perumus	0.24
saat	peniup	0.11
saat	penggalang	0.3
saat	pembenci	0.21
saat	pengkaji	0.24
saat	pembebas	0.15
saat	pemetik	0.19
saat	penjilat	0.11
saat	pencabut	0.2
saat	peramah	0.13
saat	pengukir	0.18
saat	pengejar	0.25
saat	pemerah	0.19
saat	wiraswastawan	0.19
saat	pemulia	0.17
saat	penendang	0.25
saat	penyimak	0.25
saat	pelestari	0.19
saat	penjemput	0.25
saat	pembaru	0.25
saat	penghayat	0.27
saat	pengadu	0.12
saat	pemasak	0.17
saat	pembobol	0.19
saat	penggemblengan	0.22
saat	penghasut	0.14
saat	penderma	0.16
saat	pemaksa	0.17
saat	peragu	0.22
saat	pengekor	0.18
saat	perayu	0.15
saat	pendebat	0.21
saat	penyuara	0.15
saat	pemimpinan	0.29
saat	penghadang	0.25
saat	pengasah	0.19
saat	pengutang	0.19
saat	pembisik	0.18
saat	pengetuk	0.24
saat	pemberang	0.3
saat	peneguh	0.24
saat	pewirausaha	0.26
saat	pencuriga	0.3
saat	pengalah	0.34
saat	pengalasan	0.26
saat	pengamuk	0.29
anak	pemain	0.4
anak	penduduk	0.4
anak	pengguna	0.33
anak	wisatawan	0.26
anak	penelitian	0.26
anak	pasangan	0.47
anak	penulis	0.34
anak	pemimpin	0.41
anak	peserta	0.46
anak	pengunjung	0.31
anak	penderita	0.42
anak	pembelajaran	0.35
anak	pelayanan	0.28
anak	kehilangan	0.37
anak	keturunan	0.47
anak	pemilik	0.42
anak	penyanyi	0.4
anak	karyawan	0.38
anak	pelanggan	0.36
anak	kelahiran	0.44
