noun_w_ekor	noun_w_buah	cossim
petani	pengakuan	0.2
petani	kajian	0.19
petani	kesuksesan	0.23
petani	dataran	0.34
petani	persamaan	0.14
petani	tinjauan	-0.01
petani	kesepakatan	0.22
petani	perumahan	0.28
petani	penutup	0.17
petani	pemberontakan	0.35
petani	pengajaran	0.18
petani	kebahagiaan	0.21
petani	susunan	0.13
petani	kebakaran	0.24
petani	undangan	0.16
petani	kesimpulan	0.18
petani	panduan	0.14
petani	tahapan	0.18
petani	larutan	0.21
petani	angkutan	0.27
petani	pengukuran	0.2
petani	dugaan	0.14
petani	keadilan	0.22
petani	pameran	0.2
petani	permohonan	0.16
petani	keseimbangan	0.2
petani	perlawanan	0.29
petani	pengumuman	0.08
petani	kemasan	0.19
petani	persahabatan	0.17
petani	tawaran	0.17
petani	pencapaian	0.17
petani	acuan	0.18
petani	kehormatan	0.21
petani	muatan	0.12
petani	percakapan	0.16
petani	ungkapan	0.18
petani	kenangan	0.13
petani	mainan	0.16
petani	rancangan	0.13
petani	karangan	0.1
petani	dorongan	0.17
petani	batasan	0.13
petani	bayangan	0.19
petani	tarian	0.2
petani	pertarungan	0.2
petani	usulan	0.24
petani	ledakan	0.21
petani	pengembang	0.37
petani	pembuka	0.16
petani	penerbit	0.27
petani	ingatan	0.21
petani	hiasan	0.14
petani	permulaan	0.22
petani	balasan	0.18
petani	pemecahan	0.21
petani	tuduhan	0.16
petani	penerbitan	0.19
petani	perdebatan	0.18
petani	tembakan	0.14
petani	keberanian	0.18
petani	ciuman	0.07
petani	anggapan	0.24
petani	perhiasan	0.19
petani	pukulan	0.15
petani	kutipan	0.12
petani	kepastian	0.22
petani	kebanggaan	0.25
petani	permukiman	0.32
petani	hunian	0.19
petani	kejutan	0.1
petani	tayangan	0.19
petani	pengantar	0.19
petani	kuburan	0.22
petani	pengorbanan	0.24
petani	pangkalan	0.19
petani	lembaran	0.14
petani	tendangan	0.15
petani	perpaduan	0.18
petani	kesedihan	0.2
petani	jalinan	0.2
petani	kejujuran	0.2
petani	senyuman	0.13
petani	keajaiban	0.14
petani	paduan	0.16
petani	perlombaan	0.15
petani	perkumpulan	0.28
petani	tautan	0.15
petani	keharusan	0.21
petani	pelukan	0.13
petani	perpisahan	0.13
petani	persidangan	0.2
petani	rumusan	0.08
petani	penyajian	0.13
petani	nyanyian	0.15
petani	kementerian	0.26
petani	perkampungan	0.36
petani	penanda	0.15
petani	pengabdian	0.23
petani	terobosan	0.21
petani	suntikan	0.12
petani	persimpangan	0.2
petani	kritikan	0.18
petani	pertemanan	0.18
petani	kekosongan	0.13
petani	percetakan	0.21
petani	halangan	0.2
petani	kutukan	0.16
petani	perbincangan	0.18
petani	kiriman	0.22
petani	kebodohan	0.24
petani	teriakan	0.21
petani	kejelasan	0.17
petani	pertengkaran	0.22
petani	ajakan	0.1
petani	kemewahan	0.15
petani	pelarian	0.25
petani	anjuran	0.16
petani	pencitraan	0.16
petani	ringkasan	0.14
petani	akhiran	-0.03
petani	tontonan	0.21
petani	kerinduan	0.16
petani	jebakan	0.13
petani	pengkhianatan	0.21
petani	garapan	0.33
petani	terusan	0.15
petani	penegasan	0.15
petani	kontrakan	0.24
petani	cerminan	0.27
petani	lompatan	0.17
petani	renungan	0.14
petani	pelataran	0.18
petani	perempatan	0.17
petani	rangkuman	0.08
petani	ketukan	0.1
petani	bisikan	0.07
petani	bungkusan	0.13
petani	kerumitan	0.17
petani	pahatan	0.11
petani	sindiran	0.16
petani	kewajaran	0.13
petani	penantian	0.19
petani	pergelaran	0.07
petani	meteran	0.16
petani	tuturan	0.12
petani	ujaran	0.09
petani	penjepit	0.14
petani	penggaris	0.12
petani	tamparan	0.18
petani	hantaman	0.15
petani	layangan	0.16
petani	gurauan	0.13
petani	kelaziman	0.13
petani	kemustahilan	0.1
petani	penyerah	0.3
pejuang	bagian	0.24
pejuang	penyakit	0.23
pejuang	perusahaan	0.25
pejuang	perjalanan	0.33
pejuang	makanan	0.27
pejuang	pendidikan	0.34
pejuang	pemerintah	0.38
pejuang	tujuan	0.23
pejuang	kehidupan	0.31
pejuang	hubungan	0.22
pejuang	kegiatan	0.24
pejuang	kecamatan	0.23
pejuang	penilaian	0.16
pejuang	kemampuan	0.26
pejuang	lingkungan	0.23
pejuang	kebutuhan	0.24
pejuang	keadaan	0.26
pejuang	pekerjaan	0.24
pejuang	perubahan	0.23
pejuang	permainan	0.23
pejuang	pilihan	0.24
pejuang	pertanyaan	0.22
pejuang	penelitian	0.16
pejuang	jaringan	0.24
pejuang	pemerintahan	0.31
pejuang	kekuatan	0.37
pejuang	ukuran	0.14
pejuang	tanaman	0.21
pejuang	layanan	0.2
pejuang	perkembangan	0.27
pejuang	pertandingan	0.23
pejuang	bangunan	0.29
pejuang	pembangunan	0.3
pejuang	tindakan	0.26
pejuang	gerakan	0.42
pejuang	kerajaan	0.33
pejuang	kematian	0.26
pejuang	kebijakan	0.21
pejuang	pembelajaran	0.21
pejuang	serangan	0.35
pejuang	tulisan	0.2
pejuang	jawaban	0.14
pejuang	perbedaan	0.22
pejuang	kekuasaan	0.25
pejuang	keputusan	0.21
pejuang	keuntungan	0.22
pejuang	kehilangan	0.28
pejuang	kejadian	0.18
pejuang	kendaraan	0.27
pejuang	perasaan	0.26
pejuang	pelajaran	0.26
pejuang	ruangan	0.17
pejuang	peningkatan	0.26
pejuang	saluran	0.2
pejuang	aliran	0.28
pejuang	laporan	0.19
pejuang	pemilihan	0.21
pejuang	kemenangan	0.3
pejuang	pernikahan	0.19
pejuang	catatan	0.24
pejuang	pertemuan	0.28
pejuang	penjualan	0.19
pejuang	kesalahan	0.22
pejuang	pandangan	0.29
pejuang	lapangan	0.3
pejuang	perbuatan	0.22
pejuang	keinginan	0.24
pejuang	jabatan	0.18
pejuang	penampilan	0.2
pejuang	aturan	0.15
pejuang	harapan	0.27
pejuang	perencanaan	0.22
pejuang	latihan	0.28
pejuang	peralatan	0.26
pejuang	penjelasan	0.14
pejuang	kepercayaan	0.25
pejuang	peraturan	0.17
pejuang	kebiasaan	0.2
pejuang	permasalahan	0.21
pejuang	pemikiran	0.35
pejuang	ajaran	0.2
pejuang	permintaan	0.15
pejuang	kebenaran	0.31
pejuang	pemahaman	0.25
pejuang	pernyataan	0.23
pejuang	kebudayaan	0.31
pejuang	perjanjian	0.24
pejuang	campuran	0.26
pejuang	pertempuran	0.46
pejuang	pendekatan	0.18
pejuang	pelatihan	0.3
pejuang	sebutan	0.18
pejuang	petunjuk	0.2
pejuang	ketinggian	0.11
pejuang	kebaikan	0.28
pejuang	hukuman	0.19
pejuang	ujian	0.23
pejuang	perguruan	0.32
pejuang	perjuangan	0.62
pejuang	kejahatan	0.27
pejuang	masakan	0.25
pejuang	ketentuan	0.12
pejuang	kewajiban	0.25
pejuang	pengelolaan	0.2
pejuang	kemajuan	0.35
pejuang	penawaran	0.18
pejuang	rekaman	0.22
pejuang	persoalan	0.26
pejuang	jurusan	0.18
pejuang	satuan	0.24
pejuang	peringatan	0.28
pejuang	kenyataan	0.27
pejuang	kecelakaan	0.19
pejuang	ikatan	0.2
pejuang	kekerasan	0.32
pejuang	keyakinan	0.27
pejuang	kesadaran	0.29
pejuang	tantangan	0.28
pejuang	panggilan	0.21
pejuang	gambaran	0.22
pejuang	pemandangan	0.24
pejuang	potongan	0.19
pejuang	ancaman	0.26
pejuang	rangkaian	0.17
pejuang	kunjungan	0.2
pejuang	keberhasilan	0.28
pejuang	kebebasan	0.37
pejuang	keindahan	0.23
pejuang	perbatasan	0.3
pejuang	pertimbangan	0.21
pejuang	kebetulan	0.21
pejuang	persiapan	0.3
pejuang	harian	0.24
pejuang	pembicaraan	0.18
pejuang	ucapan	0.19
pejuang	pelabuhan	0.18
pejuang	pertunjukan	0.2
pejuang	pengadilan	0.24
pejuang	lukisan	0.19
pejuang	tuntutan	0.23
pejuang	pelanggaran	0.26
pejuang	gagasan	0.31
pejuang	pesanan	0.08
pejuang	penemuan	0.21
pejuang	jaminan	0.27
pejuang	perkebunan	0.27
pejuang	lingkaran	0.19
pejuang	daratan	0.19
pejuang	kekalahan	0.27
pejuang	pergerakan	0.46
pejuang	percobaan	0.15
pejuang	peradaban	0.31
pejuang	kegagalan	0.24
pejuang	perayaan	0.22
pejuang	perkawinan	0.18
pejuang	perekonomian	0.23
pejuang	pengakuan	0.29
pejuang	kajian	0.22
pejuang	kesuksesan	0.21
pejuang	dataran	0.25
pejuang	persamaan	0.29
pejuang	tinjauan	0.04
pejuang	kesepakatan	0.26
pejuang	perumahan	0.26
pejuang	penutup	0.21
pejuang	pemberontakan	0.39
pejuang	pengajaran	0.27
pejuang	kebahagiaan	0.23
pejuang	susunan	0.14
pejuang	kebakaran	0.19
pejuang	undangan	0.17
pejuang	kesimpulan	0.15
pejuang	panduan	0.19
pejuang	tahapan	0.21
pejuang	larutan	0.15
pejuang	angkutan	0.21
pejuang	pengukuran	0.13
pejuang	dugaan	0.15
pejuang	keadilan	0.32
pejuang	pameran	0.18
pejuang	permohonan	0.19
pejuang	keseimbangan	0.16
pejuang	perlawanan	0.51
pejuang	pengumuman	0.18
pejuang	kemasan	0.15
pejuang	persahabatan	0.27
pejuang	tawaran	0.23
pejuang	pencapaian	0.22
pejuang	acuan	0.21
pejuang	kehormatan	0.33
pejuang	muatan	0.19
pejuang	percakapan	0.23
pejuang	ungkapan	0.23
pejuang	kenangan	0.28
pejuang	mainan	0.18
pejuang	rancangan	0.21
pejuang	karangan	0.16
pejuang	dorongan	0.26
pejuang	batasan	0.17
pejuang	bayangan	0.26
pejuang	tarian	0.3
pejuang	pertarungan	0.36
pejuang	usulan	0.25
pejuang	ledakan	0.23
pejuang	pengembang	0.35
pejuang	pembuka	0.22
pejuang	penerbit	0.25
pejuang	ingatan	0.25
pejuang	hiasan	0.11
pejuang	permulaan	0.26
pejuang	balasan	0.28
pejuang	pemecahan	0.17
pejuang	tuduhan	0.2
pejuang	penerbitan	0.2
pejuang	perdebatan	0.27
pejuang	tembakan	0.3
pejuang	keberanian	0.37
pejuang	ciuman	0.18
pejuang	anggapan	0.21
pejuang	perhiasan	0.17
pejuang	pukulan	0.19
pejuang	kutipan	0.18
pejuang	kepastian	0.22
pejuang	kebanggaan	0.31
pejuang	permukiman	0.28
pejuang	hunian	0.2
pejuang	kejutan	0.21
pejuang	tayangan	0.15
pejuang	pengantar	0.23
pejuang	kuburan	0.24
pejuang	pengorbanan	0.41
pejuang	pangkalan	0.28
pejuang	lembaran	0.24
pejuang	tendangan	0.16
pejuang	perpaduan	0.18
pejuang	kesedihan	0.19
pejuang	jalinan	0.15
pejuang	kejujuran	0.27
pejuang	senyuman	0.18
pejuang	keajaiban	0.18
pejuang	paduan	0.18
pejuang	perlombaan	0.21
pejuang	perkumpulan	0.26
pejuang	tautan	0.14
pejuang	keharusan	0.21
pejuang	pelukan	0.21
pejuang	perpisahan	0.18
pejuang	persidangan	0.19
pejuang	rumusan	0.11
pejuang	penyajian	0.14
pejuang	nyanyian	0.25
pejuang	kementerian	0.28
pejuang	perkampungan	0.31
pejuang	penanda	0.22
pejuang	pengabdian	0.32
pejuang	terobosan	0.19
pejuang	suntikan	0.22
pejuang	persimpangan	0.29
pejuang	kritikan	0.23
pejuang	pertemanan	0.2
pejuang	kekosongan	0.16
pejuang	percetakan	0.19
pejuang	halangan	0.27
pejuang	kutukan	0.15
pejuang	perbincangan	0.26
pejuang	kiriman	0.16
pejuang	kebodohan	0.22
pejuang	teriakan	0.32
pejuang	kejelasan	0.17
pejuang	pertengkaran	0.19
pejuang	ajakan	0.18
pejuang	kemewahan	0.19
pejuang	pelarian	0.37
pejuang	anjuran	0.12
pejuang	pencitraan	0.24
pejuang	ringkasan	0.17
pejuang	akhiran	0.03
pejuang	tontonan	0.15
pejuang	kerinduan	0.21
pejuang	jebakan	0.19
pejuang	pengkhianatan	0.31
pejuang	garapan	0.16
pejuang	terusan	0.14
pejuang	penegasan	0.17
pejuang	kontrakan	0.17
pejuang	cerminan	0.27
pejuang	lompatan	0.23
pejuang	renungan	0.22
pejuang	pelataran	0.17
pejuang	perempatan	0.19
pejuang	rangkuman	0.17
pejuang	ketukan	0.14
pejuang	bisikan	0.16
pejuang	bungkusan	0.15
pejuang	kerumitan	0.08
pejuang	pahatan	0.12
pejuang	sindiran	0.17
pejuang	kewajaran	0.15
pejuang	penantian	0.26
pejuang	pergelaran	0.12
pejuang	meteran	0.08
pejuang	tuturan	0.09
pejuang	ujaran	0.08
pejuang	penjepit	0.2
pejuang	penggaris	0.13
pejuang	tamparan	0.21
pejuang	hantaman	0.19
pejuang	layangan	0.17
pejuang	gurauan	0.11
pejuang	kelaziman	0.12
pejuang	kemustahilan	0.15
pejuang	penyerah	0.4
pemburu	bagian	0.16
pemburu	penyakit	0.23
pemburu	perusahaan	0.27
pemburu	perjalanan	0.27
pemburu	makanan	0.35
pemburu	pendidikan	0.23
pemburu	pemerintah	0.26
pemburu	tujuan	0.21
pemburu	kehidupan	0.23
pemburu	hubungan	0.2
pemburu	kegiatan	0.23
pemburu	kecamatan	0.12
pemburu	penilaian	0.18
pemburu	kemampuan	0.26
pemburu	lingkungan	0.19
pemburu	kebutuhan	0.21
pemburu	keadaan	0.13
pemburu	pekerjaan	0.3
pemburu	perubahan	0.16
pemburu	permainan	0.27
pemburu	pilihan	0.2
pemburu	pertanyaan	0.24
pemburu	penelitian	0.27
pemburu	jaringan	0.19
pemburu	pemerintahan	0.19
pemburu	kekuatan	0.23
pemburu	ukuran	0.16
pemburu	tanaman	0.29
pemburu	layanan	0.21
pemburu	perkembangan	0.18
pemburu	pertandingan	0.19
pemburu	bangunan	0.21
pemburu	pembangunan	0.2
pemburu	tindakan	0.22
pemburu	gerakan	0.26
pemburu	kerajaan	0.29
pemburu	kematian	0.23
pemburu	kebijakan	0.17
pemburu	pembelajaran	0.2
pemburu	serangan	0.35
pemburu	tulisan	0.16
pemburu	jawaban	0.17
pemburu	perbedaan	0.14
pemburu	kekuasaan	0.2
pemburu	keputusan	0.17
pemburu	keuntungan	0.27
pemburu	kehilangan	0.29
pemburu	kejadian	0.18
pemburu	kendaraan	0.25
pemburu	perasaan	0.16
pemburu	pelajaran	0.18
pemburu	ruangan	0.13
pemburu	peningkatan	0.2
pemburu	saluran	0.14
pemburu	aliran	0.15
pemburu	laporan	0.21
pemburu	pemilihan	0.23
pemburu	kemenangan	0.2
pemburu	pernikahan	0.17
pemburu	catatan	0.2
pemburu	pertemuan	0.12
pemburu	penjualan	0.3
pemburu	kesalahan	0.17
pemburu	pandangan	0.25
pemburu	lapangan	0.2
pemburu	perbuatan	0.2
pemburu	keinginan	0.21
pemburu	jabatan	0.23
pemburu	penampilan	0.17
pemburu	aturan	0.14
pemburu	harapan	0.22
pemburu	perencanaan	0.17
pemburu	latihan	0.21
pemburu	peralatan	0.28
pemburu	penjelasan	0.2
pemburu	kepercayaan	0.22
pemburu	peraturan	0.15
pemburu	kebiasaan	0.23
pemburu	permasalahan	0.13
pemburu	pemikiran	0.2
pemburu	ajaran	0.14
pemburu	permintaan	0.17
pemburu	kebenaran	0.23
pemburu	pemahaman	0.21
pemburu	pernyataan	0.15
pemburu	kebudayaan	0.27
pemburu	perjanjian	0.18
pemburu	campuran	0.21
pemburu	pertempuran	0.31
pemburu	pendekatan	0.22
pemburu	pelatihan	0.3
pemburu	sebutan	0.25
pemburu	petunjuk	0.25
pemburu	ketinggian	0.08
pemburu	kebaikan	0.17
pemburu	hukuman	0.22
pemburu	ujian	0.19
pemburu	perguruan	0.23
pemburu	perjuangan	0.25
pemburu	kejahatan	0.28
pemburu	masakan	0.27
pemburu	ketentuan	0.13
pemburu	kewajiban	0.23
pemburu	pengelolaan	0.22
pemburu	kemajuan	0.16
pemburu	penawaran	0.2
pemburu	rekaman	0.26
pemburu	persoalan	0.12
pemburu	jurusan	0.19
pemburu	satuan	0.26
pemburu	peringatan	0.21
pemburu	kenyataan	0.18
pemburu	kecelakaan	0.21
pemburu	ikatan	0.2
pemburu	kekerasan	0.18
pemburu	keyakinan	0.16
pemburu	kesadaran	0.2
pemburu	tantangan	0.24
pemburu	panggilan	0.15
pemburu	gambaran	0.22
pemburu	pemandangan	0.27
pemburu	potongan	0.23
pemburu	ancaman	0.27
pemburu	rangkaian	0.12
pemburu	kunjungan	0.15
pemburu	keberhasilan	0.23
pemburu	kebebasan	0.2
pemburu	keindahan	0.19
pemburu	perbatasan	0.22
pemburu	pertimbangan	0.17
pemburu	kebetulan	0.29
pemburu	persiapan	0.2
pemburu	harian	0.24
pemburu	pembicaraan	0.15
pemburu	ucapan	0.16
pemburu	pelabuhan	0.2
pemburu	pertunjukan	0.27
pemburu	pengadilan	0.16
pemburu	lukisan	0.25
pemburu	tuntutan	0.18
pemburu	pelanggaran	0.2
pemburu	gagasan	0.17
pemburu	pesanan	0.19
pemburu	penemuan	0.3
pemburu	jaminan	0.22
pemburu	perkebunan	0.25
pemburu	lingkaran	0.18
pemburu	daratan	0.22
pemburu	kekalahan	0.14
pemburu	pergerakan	0.3
pemburu	percobaan	0.25
pemburu	peradaban	0.22
pemburu	kegagalan	0.17
pemburu	perayaan	0.18
pemburu	perkawinan	0.17
pemburu	perekonomian	0.11
pemburu	pengakuan	0.25
pemburu	kajian	0.19
pemburu	kesuksesan	0.2
pemburu	dataran	0.2
pemburu	persamaan	0.13
pemburu	tinjauan	0.01
pemburu	kesepakatan	0.17
pemburu	perumahan	0.24
pemburu	penutup	0.21
pemburu	pemberontakan	0.23
pemburu	pengajaran	0.17
pemburu	kebahagiaan	0.21
pemburu	susunan	0.14
pemburu	kebakaran	0.21
pemburu	undangan	0.15
pemburu	kesimpulan	0.16
pemburu	panduan	0.24
pemburu	tahapan	0.16
pemburu	larutan	0.14
pemburu	angkutan	0.2
pemburu	pengukuran	0.19
pemburu	dugaan	0.21
pemburu	keadilan	0.15
pemburu	pameran	0.27
pemburu	permohonan	0.18
pemburu	keseimbangan	0.14
pemburu	perlawanan	0.26
pemburu	pengumuman	0.19
pemburu	kemasan	0.12
pemburu	persahabatan	0.2
pemburu	tawaran	0.27
pemburu	pencapaian	0.17
pemburu	acuan	0.21
pemburu	kehormatan	0.21
pemburu	muatan	0.13
pemburu	percakapan	0.18
pemburu	ungkapan	0.16
pemburu	kenangan	0.2
pemburu	mainan	0.28
pemburu	rancangan	0.18
pemburu	karangan	0.13
pemburu	dorongan	0.21
pemburu	batasan	0.12
pemburu	bayangan	0.28
pemburu	tarian	0.28
pemburu	pertarungan	0.28
pemburu	usulan	0.16
pemburu	ledakan	0.24
pemburu	pengembang	0.34
pemburu	pembuka	0.25
pemburu	penerbit	0.27
pemburu	ingatan	0.22
pemburu	hiasan	0.22
pemburu	permulaan	0.18
pemburu	balasan	0.24
pemburu	pemecahan	0.19
pemburu	tuduhan	0.16
pemburu	penerbitan	0.22
pemburu	perdebatan	0.21
pemburu	tembakan	0.34
pemburu	keberanian	0.19
pemburu	ciuman	0.23
pemburu	anggapan	0.2
pemburu	perhiasan	0.25
pemburu	pukulan	0.17
pemburu	kutipan	0.18
pemburu	kepastian	0.2
pemburu	kebanggaan	0.24
pemburu	permukiman	0.25
pemburu	hunian	0.25
pemburu	kejutan	0.19
pemburu	tayangan	0.21
pemburu	pengantar	0.23
pemburu	kuburan	0.25
pemburu	pengorbanan	0.23
pemburu	pangkalan	0.21
pemburu	lembaran	0.17
pemburu	tendangan	0.24
pemburu	perpaduan	0.12
pemburu	kesedihan	0.13
pemburu	jalinan	0.12
pemburu	kejujuran	0.17
pemburu	senyuman	0.2
pemburu	keajaiban	0.18
pemburu	paduan	0.23
pemburu	perlombaan	0.32
pemburu	perkumpulan	0.25
pemburu	tautan	0.2
pemburu	keharusan	0.19
pemburu	pelukan	0.2
pemburu	perpisahan	0.1
pemburu	persidangan	0.12
pemburu	rumusan	0.11
pemburu	penyajian	0.15
pemburu	nyanyian	0.26
pemburu	kementerian	0.19
pemburu	perkampungan	0.26
pemburu	penanda	0.25
pemburu	pengabdian	0.24
pemburu	terobosan	0.18
pemburu	suntikan	0.15
pemburu	persimpangan	0.17
pemburu	kritikan	0.18
pemburu	pertemanan	0.21
pemburu	kekosongan	0.15
pemburu	percetakan	0.18
pemburu	halangan	0.15
pemburu	kutukan	0.29
pemburu	perbincangan	0.17
pemburu	kiriman	0.22
pemburu	kebodohan	0.13
pemburu	teriakan	0.27
pemburu	kejelasan	0.18
pemburu	pertengkaran	0.17
pemburu	ajakan	0.21
pemburu	kemewahan	0.19
pemburu	pelarian	0.37
pemburu	anjuran	0.11
pemburu	pencitraan	0.24
pemburu	ringkasan	0.12
pemburu	akhiran	0.11
pemburu	tontonan	0.24
pemburu	kerinduan	0.19
pemburu	jebakan	0.31
pemburu	pengkhianatan	0.19
pemburu	garapan	0.24
pemburu	terusan	0.14
pemburu	penegasan	0.11
pemburu	kontrakan	0.23
pemburu	cerminan	0.12
pemburu	lompatan	0.17
pemburu	renungan	0.13
pemburu	pelataran	0.13
pemburu	perempatan	0.11
pemburu	rangkuman	0.13
pemburu	ketukan	0.2
pemburu	bisikan	0.23
pemburu	bungkusan	0.23
pemburu	kerumitan	0.13
pemburu	pahatan	0.19
pemburu	sindiran	0.19
pemburu	kewajaran	0.07
pemburu	penantian	0.28
pemburu	pergelaran	0.14
pemburu	meteran	0.11
pemburu	tuturan	0.14
pemburu	ujaran	0.08
pemburu	penjepit	0.21
pemburu	penggaris	0.13
pemburu	tamparan	0.17
pemburu	hantaman	0.25
pemburu	layangan	0.22
pemburu	gurauan	0.19
pemburu	kelaziman	0.13
pemburu	kemustahilan	0.17
pemburu	penyerah	0.34
